number;classNumber;className;numberInClass;1 meanBacteriaarcLength;2 meanBacteriaWholeCurvature;3 minrolcorPointAndMidP10B10;4 minrolcorPointsP10B10;5 minrolcoranglespointpointmiddleP10B10;6 minrolcoranglespointmiddlepointP10B10;7 medianOfTheObjectsSize;8 howMuchWhiteInMaskPercent;9 howManyObjects;10 howManyBacterias;11 meanShiftr25;12 meanShiftr50;13 meanShiftr75;14 meanShiftr100;15 meanShiftr125;16 meanShiftr150;17 meanShiftr175;18 meanShiftr200;19 NewKmeansAndVariance2DForK3;20 NewKmeansAndVariance2DForK6;21 NewKmeansAndVariance2DForK10;22 NewKmeansAndVariance3DForK3;23 NewKmeansAndVariance3DForK6;24 NewKmeansAndVariance3DForK10;25 NewKmeansAndVariance2DForK3weighted;26 NewKmeansAndVariance2DForK6weighted;27 NewKmeansAndVariance2DForK10weighted;28 varianceOnMask;29 varianceWholeImage;30 varianceWholeImageRed;31 varianceWholeImageGreen;32 varianceWholeImageBlue;33 meanOnMask;34 meanWholeImage;35 meanWholeImageRed;36 meanWholeImageGreen;37 meanWholeImageBlue;38 warRedOnMask;39 warGreenOnMask;40 warBlueOnMask;41 meanOnMaskRed;42 meanOnMaskGreen;43 meanOnMaskBlue;44 kurthosisGrayWholeImage;45 kurthosisGrayOnMask;46 kurthosisRedWholeImage;47 kurthosisGreenWholeImage;48 kurthosisBlueWholeImage;49 kurthosisRedOnMask;50 kurthosisGreenOnMask;51 kurthosisBlueOnMask;52 skewnessGrayWholeImage;53 skewnessGrayOnMask;54 skewnessRedWholeImage;55 skewnessGreenWholeImage;56 skewnessBlueWholeImage;57 skewnessRedOnMask;58 skewnessGreenOnMask;59 skewnessBlueOnMask
64;3;x5;17;65.39196556;9.867081655;0.4993337887;1.245484491;0.614005927;0.6559887988;233;0.05402079264;573;1139.583691;510;346;223;135;92;65;41;36;1553.195092;1192.800729;4221.720395;143.1202703;29245.73334;21674.04995;386.610018;1311.001629;2002.348284;228.53657;150.14936;179.41761;155.03924;129.95071;104.50663;144.41482;145.50399;144.41145;141.39595;425.66291;292.63584;259.50415;103.46917;104.49817;107.31269;12.697929;4.0056635;13.995078;16.577775;15.903593;15.161251;9.0517364;11.387485;-2.3283005;0.076949965;-2.2148754;-2.568677;-2.3233242;1.7778499;-0.90904901;-1.0665354
65;3;x5;18;63.85527307;9.870268281;0.2474352905;1.109520091;0.4305399632;0.5254027968;235;0.03344116211;341;699.4468085;328;259;173;117;88;69;52;38;639.4555564;7317.964319;6788.188473;3380.135328;17004.23289;41450.15432;714.1931279;4710.312649;2384.144965;220.87381;107.6665;120.59698;115.28677;98.032102;100.58918;144.84591;146.06398;144.75746;141.90967;449.75427;314.76073;269.20221;101.46205;99.691355;102.95004;19.873858;3.1587986;21.744202;26.630145;25.11313;21.255732;9.2039662;13.154548;-3.2731804;-0.0098434951;-2.9597435;-3.6085408;-3.2380383;2.6723542;-1.1976603;-1.5785417
66;3;x5;19;67.95174459;9.855805392;0.5654638716;1.487686382;0.6594835032;0.5156699366;263;0.0333601888;336;623.4676806;317;244;159;116;85;68;52;37;1517.552469;6939.06419;4485.525023;12729.68612;43427.9652;82546.85601;632.0733136;2121.748558;1092.08853;222.74852;108.00263;120.12717;116.54605;96.567433;100.55824;144.92868;146.16855;144.81145;142.08374;461.93977;320.83807;277.85883;101.53184;99.512624;103.41905;19.951775;3.1207992;22.122941;26.396067;25.698602;21.046649;9.1898307;13.107963;-3.2565246;-0.0099275992;-2.9801562;-3.5675613;-3.2284873;2.6884511;-1.2103331;-1.5866609
67;3;x5;20;80.9984386;10.06432019;0.4513873691;1.319764788;0.6487718869;0.5156568284;345;0.05289713542;439;753.6231884;407;265;173;117;84;68;46;37;2950.426273;8759.687685;7335.333539;14013.95753;14168.67533;25190.39822;326.9122965;3016.252854;1610.039403;195.47392;118.98219;165.22234;116.17085;102.42713;108.26215;144.67362;145.8428;144.60091;141.80425;421.31108;271.47308;258.4063;104.21911;109.78545;111.06088;14.412646;3.2546299;15.441572;21.915777;21.557146;15.636641;11.608928;12.774668;-2.5653185;-0.46779579;-2.4180535;-2.9927752;-2.8135398;1.8293992;-1.7213178;-1.6805391
68;3;x5;21;68.42527481;9.878399798;0.3873889008;1.292932933;0.6102166143;0.6301599892;291;0.02845357259;275;480.6013746;262;191;138;102;72;56;41;33;4711.187364;2507.83072;1707.009414;4905.545781;11550.67355;16878.29152;1030.544269;963.7037182;1931.505581;193.53371;79.806391;108.85217;79.881751;72.606842;105.03296;145.11424;146.32824;145.01287;142.25025;507.721;309.63459;298.32547;101.1733;106.41961;108.0573;22.171419;2.5897939;25.085638;37.24417;35.594727;19.549018;12.890249;14.472362;-3.3091045;-0.42792893;-3.0398338;-3.988783;-3.65623;2.6310546;-2.0650053;-2.0853295
69;3;x5;22;58.7033591;9.851935732;0.3505159108;1.217870135;0.5741024876;0.6315197997;205.5;0.02639241536;298;631.2603406;277;189;133;99;70;56;47;38;2901.383648;5921.442569;6814.251817;14397.10752;6742.131265;10138.21131;1748.648489;3746.619554;3210.337917;202.96445;75.553258;99.452952;77.28409;69.606131;105.63674;145.19463;146.43456;145.08312;142.30585;534.82115;317.49454;300.20064;102.99352;106.43296;108.49679;22.559757;2.8885889;26.351336;38.329864;36.609604;18.279387;13.189903;15.522151;-3.1869096;-0.28339375;-2.9168107;-3.8790442;-3.4995465;2.5400653;-2.0602339;-2.1621609
70;3;x5;23;58.61930449;10.29591229;0.6823973755;1.274633422;0.9621603951;0.5927941515;136;0.4372406006;1234;15802.38971;790;312;156;85;58;40;30;24;285.8617086;7551.260924;3915.187133;16.57903938;349.5233769;1852.778727;66.22781301;2875.63571;1986.022516;23.822799;32.330622;38.194245;34.466072;39.101886;140.59058;144.28263;147.92158;146.22614;124.98977;28.674927;27.45407;27.416158;144.08005;142.59289;121.34264;61.633289;30.289867;41.851733;53.318462;72.723632;26.678216;28.651416;18.231375;1.6308676;-2.5370942;0.95711984;1.2518012;2.6547541;-2.3010218;-2.3351073;-1.5739268
71;3;x5;24;58.92139866;10.30486036;0.7673750135;0.9419569043;1.102215153;0.6995591232;133;0.6108931478;1451;22576.40602;900;312;158;84;55;38;31;20;850.6208476;2565.592737;2185.502909;1003.497276;616.1139124;2634.094987;8.918283222;592.571044;859.1840527;27.800467;29.887558;32.392734;33.426769;25.555823;155.64205;157.77064;157.99219;157.66431;157.75727;29.340283;31.877189;23.60358;155.79638;155.51067;155.97611;40.122426;78.797717;33.857281;33.777016;52.373022;69.777882;62.453643;104.42302;1.8243248;3.6578923;1.6579075;1.5067073;2.3488704;3.3932888;2.9453747;4.5848855
72;3;x5;25;69.99365088;10.39155697;0.7735509366;1.391121709;1.034391299;0.5682272989;178;0.4533526611;2556;12518.64607;1583;518;241;131;83;53;34;34;740.355867;836.4732243;454.066681;324.981347;6838.17424;4991.092675;77.57994538;118.677183;459.7245283;25.112478;31.056553;32.894365;34.97712;26.62832;161.02362;157.41519;157.7341;157.25801;157.40044;26.726444;28.648243;25.165715;161.37577;160.99393;160.1845;37.490181;98.14375;33.047897;30.990653;49.01628;85.640532;76.285551;100.59143;1.7996088;5.2062718;1.6656959;1.4895294;2.2896045;4.7177136;4.2977303;5.274173
73;3;x5;26;68.7927694;9.835548509;0.2856799161;1.182359317;0.461193824;0.5182375575;302;0.1909629313;2361;3108.016556;1996;725;358;191;127;91;68;50;997.5341724;1379.057409;1175.1275;242.6753237;1788.72223;3758.124261;30.45712006;254.4040358;413.8738665;275.75876;445.00069;467.34767;463.08276;430.51504;108.40823;145.65552;145.88407;145.57764;145.47216;295.4963;328.09983;327.83299;108.67297;107.96007;110.0477;4.9211092;2.9127464;4.5588442;5.5927631;5.3839831;9.1523059;4.2965281;4.2181004;-1.4844685;-0.54304449;-1.3184411;-1.5734183;-1.5212674;0.4125345;-0.76127384;-0.47778428
