number,classNumber,className,numberInClass,1 meanBacteriaarcLength,2 meanBacteriaWholeCurvature,3 minrolcorPointAndMidP10B10,4 minrolcorPointsP10B10,5 minrolcoranglespointpointmiddleP10B10,6 minrolcoranglespointmiddlepointP10B10,7 medianOfTheObjectsSize,8 howMuchWhiteInMaskPercent,9 howManyObjects,10 howManyBacterias,11 meanShiftr25,12 meanShiftr50,13 meanShiftr75,14 meanShiftr100,15 meanShiftr125,16 meanShiftr150,17 meanShiftr175,18 meanShiftr200,19 NewKmeansAndVariance2DForK3,20 NewKmeansAndVariance2DForK6,21 NewKmeansAndVariance2DForK10,22 NewKmeansAndVariance3DForK3,23 NewKmeansAndVariance3DForK6,24 NewKmeansAndVariance3DForK10,25 NewKmeansAndVariance2DForK3weighted,26 NewKmeansAndVariance2DForK6weighted,27 NewKmeansAndVariance2DForK10weighted
46,2,E7,24,-0.49096,-0.84159,-0.85226,0.19039,-0.70667,-0.34209,-0.60743,-0.35324,0.78868,-0.70545,0.84196,0.84844,0.96429,0.87097,0.61538,0.69444,0.62264,0.59091,-0.95978,-0.91753,-0.97976,-0.9967,-0.99209,-0.93886,-0.99549,-0.85926,-0.96436
47,2,E7,25,-0.50814,-0.81546,-0.78899,0.28715,-0.67211,-0.35946,-0.60477,-0.35009,0.81304,-0.70514,0.89101,0.91085,0.84286,0.72903,1,0.83333,0.73585,0.45455,-0.96109,-0.89176,-0.95367,-0.99682,-0.99686,-0.99888,-0.97355,-0.96384,-0.93384
48,3,x5,1,-0.41637,-0.73303,-0.26091,0.17391,-0.18159,0.31717,-0.49735,-0.52142,0.21705,-0.81635,0.3297,0.4948,0.5,0.39355,0.30769,0.27778,-0.056604,0.13636,-0.93099,-0.77513,-0.86996,-0.99439,-0.98763,-0.96459,-0.98319,-0.73873,-0.92241
49,3,x5,2,-0.42582,-0.72583,-0.44538,-0.33918,-0.21143,0.29635,-0.55438,-0.93365,-0.90688,-0.98129,-0.89464,-0.78009,-0.75714,-0.57419,-0.36538,-0.22222,-0.39623,-0.31818,-0.30619,-0.82075,-0.55821,-0.94395,-0.82383,-0.82176,-0.60181,-0.72615,-0.73082
50,3,x5,3,-0.63744,-0.8512,-0.027966,0.11991,0.011803,0.42787,-0.66313,-0.9542,-0.90115,-0.98349,-0.88102,-0.71768,-0.57857,-0.41935,-0.38462,-0.16667,-0.13208,-0.045455,-0.55947,-0.32638,-0.68263,-0.89797,-0.95816,-0.90985,-0.5903,-0.63058,-0.41681
51,3,x5,4,-0.59132,-0.46096,-0.60503,0.37829,-0.54347,-0.2027,-0.70027,-0.94886,-0.899,-0.97779,-0.87375,-0.72065,-0.63571,-0.47097,-0.36538,-0.11111,-0.35849,-0.13636,-0.71125,-0.94671,-0.0024457,-0.85734,-0.95087,-0.96539,-0.87752,-0.22615,-0.82075
52,3,x5,5,-0.29477,-0.68979,-0.73261,-0.12337,-0.63438,0.039408,-0.4748,-0.70758,-0.69628,-0.89602,-0.65304,-0.38187,-0.30714,-0.25161,-0.28846,-0.13889,-0.13208,-0.27273,-0.71677,-0.28182,-0.43927,-0.94734,-0.87386,-0.80972,-0.89952,-0.83592,0.11766
53,3,x5,6,-0.2642,-0.57849,-0.35535,0.26943,-0.26804,-0.40967,-0.45623,-0.64719,-0.66619,-0.87533,-0.61671,-0.30758,-0.27857,-0.14839,-0.11538,-0.13889,-0.09434,-0.5,-0.81062,-0.52098,-0.49227,-0.99179,-0.93518,-0.84145,-0.94062,-0.85992,-0.8178
54,3,x5,7,-0.51451,-0.80653,-0.20134,-0.019697,0.10616,0.34186,-0.6313,-0.83753,-0.80946,-0.92918,-0.79382,-0.68499,-0.72143,-0.63871,-0.55769,-0.5,-0.39623,-0.27273,-0.91744,-0.54611,-0.41193,-0.81152,-0.82029,-0.73586,-0.743,-0.9162,-0.31729
55,3,x5,8,-0.47729,-0.64658,-0.44128,-0.41199,-0.13037,0.079828,-0.6366,-0.86743,-0.87249,-0.943,-0.8465,-0.73254,-0.72857,-0.65161,-0.5,-0.55556,-0.28302,-0.22727,-0.78941,-0.79038,-0.69497,-0.85352,-0.91178,-0.8685,-0.9957,-1,-0.93547
56,3,x5,9,-0.89824,-0.58386,0.085252,0.44235,0.27408,0.48761,-0.92042,-0.99949,-0.9914,-0.99043,-0.98819,-0.9584,-0.92143,-0.74194,-0.51923,-0.27778,-0.43396,-0.22727,0.23652,0.82369,-0.30869,-0.96531,-0.96228,-0.85826,-0.91998,0.14945,0.28561
57,3,x5,10,-0.96171,-0.77213,-0.23684,0.47191,0.19749,0.3001,-0.92838,-1,-1,-0.99004,-1,-1,-0.95,-0.81935,-0.61538,-0.44444,-0.4717,-0.45455,-0.17568,0.206,0.19584,-0.82259,-0.79688,-0.84985,-0.84623,-0.68643,1
58,3,x5,11,-0.75319,-0.50272,-0.4183,-0.37123,-0.18903,0.40006,-0.85279,-0.98979,-0.98782,-0.98945,-0.98638,-0.96731,-0.97857,-0.76774,-0.40385,-0.36111,-0.32075,-0.31818,-0.49982,-0.3607,0.23566,-0.97474,0.41087,-0.95572,0.18033,1,-0.22238
59,3,x5,12,-0.72309,-0.71491,-0.2641,0.44554,0.12725,0.1672,-0.78249,-0.90053,-0.76433,-0.94017,-0.73388,-0.60178,-0.60714,-0.41935,-0.30769,-0.36111,-0.43396,-0.36364,-0.51186,-0.82712,-0.64975,-0.97536,-0.99017,-0.9685,-0.9632,-0.88855,-0.93117
60,3,x5,13,-0.6566,-0.59014,-0.34253,-0.042064,-0.076921,-0.099504,-0.77056,-0.91608,-0.84742,-0.95141,-0.81653,-0.66122,-0.65714,-0.53548,-0.5,-0.55556,-0.66038,-0.5,-0.46172,-0.32506,-0.82178,-0.95733,-0.53847,-0.47996,-0.78213,-0.91129,-0.58601
61,3,x5,14,-0.57282,-0.66938,-0.35913,0.93283,-0.065067,0.025002,-0.72812,-0.84159,-0.72564,-0.91531,-0.68574,-0.50966,-0.45,-0.40645,-0.34615,-0.55556,-0.4717,-0.45455,-0.76598,-0.52448,-0.44875,-0.97556,-0.35394,-0.40151,-0.94279,-0.39757,-0.90336
62,3,x5,15,-0.57105,-0.588,-0.26365,0.0072487,-0.34904,0.1403,-0.69231,-0.8777,-0.78725,-0.94081,-0.74569,-0.56909,-0.50714,-0.50968,-0.34615,-0.36111,-0.32075,-0.27273,-0.88939,-0.47693,-0.95267,-0.9677,-0.96769,-0.70547,-0.76484,-0.93091,-0.78244
63,3,x5,16,-0.56393,-0.21994,-0.37318,-0.13212,-0.12941,0.10701,-0.71088,-0.86722,-0.79226,-0.93243,-0.76839,-0.50966,-0.32143,-0.29032,-0.23077,-0.27778,-0.24528,-0.27273,-0.85627,-0.45785,-0.76268,1,-0.87143,-0.95793,-0.86808,-0.26881,-0.099175
64,3,x5,17,-0.60812,-0.72655,-0.098986,-0.020785,-0.034704,0.26053,-0.73475,-0.87109,-0.75501,-0.93072,-0.73025,-0.45022,-0.3,-0.34194,-0.28846,-0.25,-0.58491,-0.27273,-0.77093,-0.87722,-0.70739,-0.99843,-0.76166,-0.83478,-0.91793,-0.70987,-0.7645
65,3,x5,18,-0.64957,-0.71606,-0.63356,-0.43133,-0.41635,-0.14595,-0.72944,-0.94024,-0.9212,-0.97036,-0.89555,-0.70877,-0.65714,-0.57419,-0.36538,-0.13889,-0.16981,-0.18182,-0.90671,-0.12354,-0.50807,-0.95835,-0.86263,-0.67695,-0.84794,0.077701,-0.71679
66,3,x5,19,-0.53907,-0.76367,0.041353,0.71055,0.059898,-0.17625,-0.65517,-0.94051,-0.92479,-0.9772,-0.90554,-0.75334,-0.75714,-0.5871,-0.42308,-0.16667,-0.16981,-0.22727,-0.77623,-0.17016,-0.68691,-0.84259,-0.64468,-0.34896,-0.86549,-0.52203,-0.87822
67,3,x5,20,-0.18717,-0.077248,-0.20074,0.20351,0.037616,-0.17629,-0.43767,-0.87487,-0.851,-0.96548,-0.8238,-0.69094,-0.65714,-0.57419,-0.44231,-0.16667,-0.39623,-0.22727,-0.56331,0.053865,-0.46558,-0.82669,-0.88602,-0.80671,-0.93068,-0.31479,-0.81351
68,3,x5,21,-0.5263,-0.68929,-0.33655,0.12249,-0.042587,0.18013,-0.5809,-0.957,-0.96848,-0.99007,-0.9555,-0.91085,-0.90714,-0.76774,-0.67308,-0.5,-0.58491,-0.40909,-0.30167,-0.71541,-0.90269,-0.93947,-0.90761,-0.87305,-0.78036,-0.79033,-0.77335
69,3,x5,22,-0.78852,-0.77641,-0.4148,-0.10417,-0.11771,0.18436,-0.80769,-0.96392,-0.95201,-0.9765,-0.94187,-0.91679,-0.94286,-0.80645,-0.71154,-0.5,-0.35849,-0.18182,-0.5706,-0.29537,-0.50605,-0.82195,-0.94727,-0.92684,-0.62695,-0.14557,-0.61357
70,3,x5,23,-0.79079,0.68514,0.28951,0.06723,0.68953,0.063819,-0.99204,0.41653,-0.28152,0.38989,-0.47593,-0.55126,-0.77857,-0.9871,-0.94231,-0.94444,-1,-0.81818,-0.95925,-0.094829,-0.7312,-1,-1,-0.99297,-0.98637,-0.34736,-0.76654
71,3,x5,24,-0.78264,0.7146,0.46984,-0.93729,0.98087,0.39615,-1,1,-0.12607,1,-0.37602,-0.55126,-0.76429,-1,-1,-1,-0.96226,-1,-0.87533,-0.7083,-0.86553,-0.98778,-0.9978,-0.98673,-0.99861,-0.87631,-0.90732
72,3,x5,25,-0.484,1,0.48295,0.41897,0.83978,-0.012651,-0.88064,0.47066,0.66547,0.094142,0.24432,0.060921,-0.17143,-0.39355,-0.46154,-0.58333,-0.84906,-0.36364,-0.89172,-0.92107,-1,-0.99618,-0.94648,-0.96792,-0.98394,-0.98611,-0.95723
73,3,x5,26,-0.51639,-0.83035,-0.5524,-0.21139,-0.35258,-0.16826,-0.55172,-0.41097,0.52579,-0.75343,0.61944,0.67608,0.66429,0.38065,0.38462,0.47222,0.43396,0.36364,-0.8535,-0.85431,-0.944,-0.9972,-0.98813,-0.97776,-0.99401,-0.95466,-0.96296
74,4,Br,1,-0.84979,-0.75878,-0.058158,-0.56698,0.25275,1,-0.86207,-0.80577,-0.37607,-0.85757,-0.34423,-0.20059,-0.23571,-0.34194,-0.44231,-0.61111,-0.4717,-0.36364,-0.8167,-0.64091,-0.80606,-0.983,-0.96297,-0.98399,-0.97165,-0.86219,-0.84514
75,4,Br,2,-0.49748,-0.84084,-0.32918,-0.0098005,-0.2224,-0.0082968,-0.61008,-0.90388,-0.72923,-0.96338,-0.69391,-0.71174,-0.77857,-0.83226,-0.84615,-0.83333,-0.88679,-0.72727,-0.65118,0.99144,-0.11114,-0.97165,-0.90415,-0.94509,-0.86579,0.033578,-0.8806
76,4,Br,3,-0.46931,-0.86583,-0.48069,-0.4751,-0.53857,-0.3561,-0.60743,-0.92405,-0.85029,-0.97308,-0.81744,-0.76226,-0.80714,-0.79355,-0.59615,-0.41667,-0.4717,-0.22727,-0.37386,-0.59317,-0.44931,-0.97031,-0.98055,-0.85493,-0.43152,-0.61202,0.07043
77,4,Br,4,-0.58678,-0.78306,-0.59652,-0.10491,-0.41464,0.018158,-0.65782,-0.94561,-0.85602,-0.97955,-0.82016,-0.62556,-0.56429,-0.54839,-0.42308,-0.25,-0.28302,-0.090909,-0.18054,-0.82313,-0.41792,-0.93456,-0.97693,-0.93419,0.65414,-0.93629,-0.57695
78,4,Br,5,-0.49151,-0.57963,-0.093759,0.11188,-0.22728,-0.24989,-0.61804,-0.79992,-0.42693,-0.91317,-0.40781,-0.40565,-0.47143,-0.48387,-0.26923,-0.22222,-0.4717,-0.31818,-0.48021,-0.57215,-0.90161,-0.9578,-0.9722,-0.96553,-0.26768,-0.47503,-0.70688
79,4,Br,6,-0.46805,-0.77346,0.081578,0.7311,-0.017167,0.53114,-0.54377,-0.82071,-0.55158,-0.93319,-0.52044,-0.52749,-0.56429,-0.66452,-0.59615,-0.5,-0.54717,-0.45455,-0.59554,-0.91868,-0.7749,-0.98007,-0.9811,-0.89369,-0.93787,0.52622,-0.73243
80,4,Br,7,-0.37525,-0.64421,-0.31342,-0.14816,0.063157,-0.013354,-0.53979,-0.79767,-0.49355,-0.92377,-0.41962,-0.11144,-0.092857,-0.14839,-0.038462,-0.13889,-0.35849,-0.13636,-0.98233,-0.88966,-0.8654,-0.99852,-0.9167,-0.76915,-0.99705,-0.77272,-0.73025
81,4,Br,8,-0.39214,-0.93496,-0.36492,0.36244,-0.16767,-0.11047,-0.5756,-0.81896,-0.56734,-0.9283,-0.4941,-0.15899,-0.092857,-0.096774,-0.21154,-0.19444,-0.24528,-0.18182,-0.83684,-1,-0.76049,-0.98656,-0.97755,-0.941,-0.8737,-0.60895,-0.73192
82,4,Br,9,-0.31516,-0.68762,-0.57544,-0.138,-0.48381,-0.5557,-0.5809,-0.82022,-0.5437,-0.92815,-0.49046,-0.26597,-0.36429,-0.27742,-0.25,-0.30556,-0.58491,-0.22727,-0.87209,-0.72696,-0.70792,-0.98945,-0.9693,-0.95799,-0.96477,0.051775,-0.69666
83,4,Br,10,-0.5277,-0.79924,-0.28197,0.46048,-0.35772,-0.11994,-0.65517,-0.84044,-0.58238,-0.92707,-0.51771,-0.20357,-0.19286,-0.070968,-0.17308,-0.33333,-0.54717,-0.27273,-0.90681,-0.84957,-0.651,-0.99235,-0.983,-0.97021,-0.94908,-0.5183,-0.90572
84,4,Br,11,-0.50734,-0.80468,-0.33682,0.040713,-0.33464,0.27118,-0.63263,-0.87761,-0.64398,-0.94844,-0.59128,-0.40267,-0.4,-0.29032,-0.23077,-0.22222,-0.20755,-0.18182,-0.77048,-0.63037,-0.63509,-0.98966,-0.94815,-0.96459,-0.8587,-0.23874,-0.76637
85,4,Br,12,-0.60366,-0.84264,-0.52608,0.35858,-0.3774,0.046904,-0.64191,-0.97377,-0.93266,-0.9946,-0.91099,-0.81278,-0.71429,-0.71613,-0.46154,-0.16667,-0.09434,0.090909,-0.71472,-0.8075,-0.37743,-0.97488,-0.95144,-0.92936,-0.86646,-0.6223,-0.40102
86,4,Br,13,-0.56369,-0.86838,-0.60881,0.10023,-0.5601,0.37098,-0.63263,-0.98386,-0.95774,-1,-0.94187,-0.87221,-0.88571,-0.72903,-0.53846,-0.36111,-0.39623,-0.27273,-0.91346,-0.91885,1,-0.9928,-0.96149,-0.98172,1,-0.82317,-0.84355
87,4,Br,14,-0.10765,-0.2873,-0.85206,0.37085,-0.83098,-0.73283,-0.48541,-0.88628,-0.77794,-0.96634,-0.74659,-0.63744,-0.66429,-0.71613,-0.63462,-0.63889,-0.54717,-0.5,-0.85322,-0.78219,-0.25043,-0.98797,-0.9006,-0.90854,-0.64119,-0.36817,0.34524
88,4,Br,15,-0.42856,-0.83168,-0.36718,-0.16274,-0.13415,-0.13017,-0.61008,-0.9297,-0.81805,-0.97553,-0.78928,-0.70877,-0.77143,-0.78065,-0.73077,-0.52778,-0.62264,-0.63636,-0.73429,-0.15184,-0.87262,-0.9826,-0.99419,-0.89333,-0.95182,-0.11738,0.24225
89,4,Br,16,-0.57208,-0.69855,-0.41042,-0.078667,-0.37551,-0.052358,-0.69761,-0.73882,-0.32808,-0.86598,-0.31153,0.031204,0.11429,0.0064516,0.057692,0.027778,0.056604,0.22727,-1,-0.81885,-0.93036,-0.90215,-0.85942,-0.94026,-0.9976,-0.77112,-0.82551
90,4,Br,17,-0.29504,-0.7386,-0.84116,-1,-0.65019,-0.40111,-0.51194,-0.8726,-0.73782,-0.95855,-0.70845,-0.62853,-0.71429,-0.76774,-0.73077,-0.55556,-0.50943,-0.31818,-0.88985,-0.63447,-0.84091,-0.98874,-0.97897,-0.57431,-0.86607,0.023763,-0.84306
91,4,Br,18,-0.05505,-0.093632,-0.095387,0.61317,0.10905,-0.13937,-0.51724,-0.74198,-0.4692,-0.90344,-0.44596,-0.31649,-0.44286,-0.48387,-0.57692,-0.61111,-0.62264,-0.5,-0.81346,-0.76892,-0.77868,-0.97443,-0.99371,-0.83024,-0.86435,-0.92323,-0.74162
92,4,Br,19,0.40367,-0.54306,-0.2702,-0.88984,-0.40735,-0.21726,0.082228,-0.6398,-0.68123,-0.93283,-0.604,-0.18276,-0.042857,0.019355,0.15385,-0.055556,-0.09434,-0.090909,-0.94,-0.8039,-0.76445,-0.99559,-0.82521,-0.87265,-0.98009,-0.8503,-0.88368
93,4,Br,20,0.28764,-0.57489,-0.53634,-0.12188,-0.39195,-0.38612,0.019894,-0.78669,-0.78295,-0.96566,-0.72934,-0.37593,-0.13571,0.045161,-0.019231,0.055556,0.13208,0.045455,-0.90783,-0.70577,-0.60308,-0.97932,-0.9919,-0.91468,-0.74533,-0.45811,-0.59679
94,4,Br,21,0.75586,0.018835,-0.39654,-0.30022,0.0074258,-0.37472,0.55438,-0.84692,-0.95559,-0.99567,-0.93279,-0.75037,-0.51429,-0.2,-0.019231,-0.027778,0.20755,0.27273,-0.63336,0.5421,-0.14408,-0.57119,-0.42413,-0.15493,-0.75934,-0.59929,0.021674
95,4,Br,22,0.69838,-0.37238,0.12671,-0.71743,0.4855,0.15239,0.43501,-0.64435,-0.75645,-0.95355,-0.69755,-0.30758,-0.12143,0.070968,-0.11538,0.083333,-0.018868,0.090909,-0.86919,-0.62012,-0.56267,-0.97648,-0.86165,-0.71874,-0.87239,-0.85408,-0.86075
96,4,Br,23,0.11839,-0.049253,0.55615,-0.43955,0.99384,0.30096,-0.3183,-0.31111,-0.12751,-0.78286,-0.066303,0.30461,0.26429,0.29032,-0.076923,0.11111,-0.16981,-0.13636,-0.94485,-0.77922,-0.85289,-0.86433,1,1,-0.99836,-0.97319,-0.90376
97,4,Br,24,0.2732,0.063337,-0.19374,-0.39524,-0.029346,-0.46662,-0.23342,-0.25139,-0.16261,-0.78321,-0.06812,0.34027,0.22143,0.17419,0.038462,0,-0.16981,0.090909,-0.47686,-0.63454,-0.79573,-0.96607,-0.88481,-0.59164,-0.99764,-0.96767,-0.92952
98,4,Br,25,0.08228,-0.44507,-0.5806,-0.20941,-0.53183,-0.029877,-0.33687,-0.33939,-0.030802,-0.78801,0.039964,0.3373,0.20714,0.070968,-0.26923,-0.22222,-0.39623,-0.13636,-0.94738,-0.82802,-0.97555,-0.95653,-0.85249,-0.833,-0.99077,-0.89952,-0.97637
99,4,Br,26,-0.3805,-0.31592,0.26205,0.14327,0.25131,-0.055891,-0.64456,-0.57063,-0.044413,-0.79553,-0.16712,-0.15305,-0.38571,-0.44516,-0.55769,-0.63889,-0.66038,-0.54545,-0.69618,-0.76929,-0.7688,-0.96686,-0.97398,-0.96241,-0.52903,-0.96587,-0.65552
100,4,Br,27,-0.21393,0.18861,-0.23211,-0.52735,0.043295,-0.097118,-0.57825,-0.47676,-0.13467,-0.77353,-0.19255,0.022288,-0.05,-0.058065,-0.28846,-0.55556,-0.58491,-0.59091,-0.73302,-0.46803,-0.32779,-0.9907,-0.97237,-0.94958,-0.99331,-0.97724,-0.81805
101,4,Br,28,-0.33152,-0.34945,0.091276,-0.295,0.3365,0.60125,-0.59416,-0.56369,-0.16046,-0.80813,-0.20981,0.016345,0.021429,-0.0064516,-0.11538,-0.25,-0.54717,-0.72727,-0.91719,-0.84762,-0.79866,-0.99801,-0.90504,-0.92363,-0.822,-0.80538,-0.95879
102,4,Br,29,0.010034,-0.11696,-0.49053,-0.18009,-0.33934,-0.29392,-0.40318,-0.60073,-0.37249,-0.86706,-0.31789,-0.010401,0.05,0.019355,0.019231,-0.27778,-0.39623,-0.18182,-0.84319,-0.9134,-0.94694,-0.89832,-0.81643,-0.79505,-0.90919,-0.86688,-0.94032
103,4,Br,30,-0.12665,0.1384,-0.094794,0.017756,0.52911,-0.23812,-0.46684,-0.56236,-0.31447,-0.83997,-0.28065,-0.010401,0.021429,-0.058065,-0.057692,-0.083333,-0.32075,-0.45455,-0.88162,-0.86451,-0.82826,-0.99236,-0.093954,0.057804,-0.98888,-0.78916,-0.92549
