number,classNumber,className,numberInClass,1 varianceOnMask,2 varianceWholeImage,3 varianceWholeImageRed,4 varianceWholeImageGreen,5 varianceWholeImageBlue,6 meanOnMask,7 meanWholeImage,8 meanWholeImageRed,9 meanWholeImageGreen,10 meanWholeImageBlue,11 warRedOnMask,12 warGreenOnMask,13 warBlueOnMask,14 meanOnMaskRed,15 meanOnMaskGreen,16 meanOnMaskBlue,17 kurthosisGrayWholeImage,18 kurthosisGrayOnMask,19 kurthosisRedWholeImage,20 kurthosisGreenWholeImage,21 kurthosisBlueWholeImage,22 kurthosisRedOnMask,23 kurthosisGreenOnMask,24 kurthosisBlueOnMask,25 skewnessGrayWholeImage,26 skewnessGrayOnMask,27 skewnessRedWholeImage,28 skewnessGreenWholeImage,29 skewnessBlueWholeImage,30 skewnessRedOnMask,31 skewnessGreenOnMask,32 skewnessBlueOnMask
39,2,E7,17,362.61065,838.79122,788.48582,919.74131,815.03826,90.781388,142.97117,143.12733,142.81594,143.41657,404.92583,449.41085,421.88304,94.22031,88.515564,93.485686,4.0227022,1.9329162,3.8926582,4.2230324,4.0055627,7.1344928,2.2667648,2.8396516,-1.2941143,-0.0057182815,-1.2278461,-1.3254668,-1.2580746,0.73135959,-0.033338572,0.27001539
40,2,E7,18,356.72314,834.54507,768.9543,925.71759,818.70701,90.874863,142.96894,143.18839,142.79526,143.34306,394.23229,449.22348,430.45098,95.023012,88.267495,93.475926,4.0069622,1.9129148,3.8643787,4.2121207,3.9833819,7.3317753,2.2293223,2.8422977,-1.2956825,-0.0012451302,-1.2183807,-1.3297052,-1.2601718,0.75929555,-0.024779566,0.30623824
41,2,E7,19,342.53313,817.86668,924.54759,828.94545,796.02923,94.216236,142.81319,142.38562,143.01139,142.97016,509.35593,380.68179,470.82907,92.252646,94.568687,97.603819,3.7189236,2.0503962,3.811883,3.8813121,3.7993456,5.3659252,2.6898372,2.9487092,-1.1523907,-0.07812597,-1.1855015,-1.1535339,-1.1390654,0.49383089,-0.17258986,0.29021809
42,2,E7,20,364.84126,888.28837,922.09283,936.31908,871.59688,92.104535,142.55182,142.40205,142.60637,142.72049,478.38486,428.39769,479.38349,92.717944,91.236533,95.024127,3.6572164,2.0019501,3.6460161,3.8245428,3.6895447,5.5975776,2.3990346,2.7939754,-1.1583542,-0.041868586,-1.1465087,-1.1757291,-1.1415863,0.55951144,-0.088862805,0.3144707
43,2,E7,21,371.20141,924.07536,878.24928,1009.487,899.96121,91.47869,142.51331,142.68032,142.38274,142.80509,424.31287,454.50722,444.29053,94.616668,89.382968,94.097963,3.5723652,2.0077409,3.4894871,3.7372564,3.5651423,6.4031921,2.3207492,2.8342416,-1.1570535,0.0095697459,-1.1040628,-1.1845339,-1.1286011,0.66053395,-0.017485833,0.3083792
44,2,E7,22,368.90421,957.4708,832.49281,1096.182,942.84998,99.669432,151.95736,152.61947,151.57171,152.26972,390.82729,486.05825,447.15351,106.21907,95.831223,102.29467,3.5252816,2.1090413,3.3757351,3.7340544,3.5092692,6.0032662,2.46293,3.1440023,-1.165804,0.017012152,-1.0666249,-1.2199909,-1.1252385,0.59998348,0.0099867747,0.2715275
45,2,E7,23,347.74929,898.08728,815.71525,1006.4947,890.10367,91.571502,142.601,143.02934,142.35744,142.78904,386.30916,443.95525,433.2259,96.484005,88.613259,93.970744,3.5808996,2.0430974,3.4527326,3.7706752,3.5549884,7.0022414,2.3519753,2.9375222,-1.1552766,0.0045371125,-1.0728751,-1.1956507,-1.1141053,0.72707231,-0.0095657991,0.32202619
46,2,E7,24,358.11952,906.50958,834.63232,1003.2704,882.77254,90.936558,142.58317,142.96033,142.35164,142.84577,394.1697,445.73903,422.3509,95.111397,88.325921,93.486234,3.6371264,2.0550217,3.5365711,3.8092404,3.6127404,7.1984758,2.3497583,2.9399981,-1.1919243,0.028634865,-1.1261123,-1.2214142,-1.1550924,0.7338431,0.00051573768,0.31821839
47,2,E7,25,386.12252,948.23353,1006.9323,983.05113,913.2716,99.412272,151.93839,151.89403,151.93989,152.10379,511.51865,440.80721,481.57326,99.266382,98.877891,102.60624,3.6821644,2.0417239,3.7061469,3.8509549,3.7329744,4.7203062,2.5652981,2.9013854,-1.1929454,-0.06534827,-1.2023752,-1.2067722,-1.1715763,0.4059968,-0.14514262,0.2400795
48,3,x5,1,216.94298,313.77213,414.47303,291.07794,280.31597,109.5734,144.68457,144.61486,144.72601,144.6555,323.0187,227.03812,245.00522,104.96143,111.36908,112.47682,5.9752152,2.7813645,5.9446347,7.1764157,7.1910098,9.6965284,7.0398251,6.3536072,-1.7122749,-0.63972522,-1.6361495,-1.8007125,-1.8123573,0.41254015,-1.1697282,-0.83303125
49,3,x5,2,196.27737,82.89962,116.37512,81.572338,76.272917,113.71825,151.31717,152.17001,151.37202,148.58757,458.52279,295.95509,285.15092,109.07024,115.58065,116.36927,21.568827,2.8209363,23.129182,38.992983,36.533159,16.005203,15.577093,16.890496,-3.3812309,-0.59873705,-3.1548882,-4.1389819,-3.7773534,2.0197995,-2.3741148,-2.3347785
50,3,x5,3,203.84126,78.219548,104.5248,78.8005,73.973334,111.57511,151.25745,152.17958,151.28733,148.46205,507.73798,309.99169,297.46633,108.22529,112.79692,114.11522,23.716608,2.5042875,26.405341,41.680035,38.141973,16.02696,15.305135,17.1273,-3.5100421,-0.50692702,-3.2745074,-4.2669851,-3.7755353,2.131612,-2.3990431,-2.4049417
51,3,x5,4,200.49792,81.003805,108.55026,82.042736,74.044343,110.89704,150.21412,151.03043,150.2033,147.91917,496.8803,303.30056,299.81938,107.4865,112.04676,113.95936,22.570638,2.6191828,25.024396,38.525484,38.453467,16.233588,14.893658,16.08578,-3.4316275,-0.54991355,-3.1819687,-4.1080169,-3.8948637,2.1207896,-2.3391455,-2.2488081
52,3,x5,5,224.90864,238.59345,285.49526,244.97707,194.36992,111.48396,148.32254,149.33006,148.26977,145.83694,348.76321,275.0079,240.24529,110.14134,111.63449,114.27099,7.6648927,4.6689985,8.0013622,9.4767203,10.003613,11.550477,8.4404518,10.257626,-1.6893343,0.1932675,-1.6216885,-1.8187981,-1.8499386,1.2297191,-0.53588386,-0.61870952
53,3,x5,6,237.31109,265.7861,319.51087,270.6612,213.75079,113.25629,149.11022,150.32067,149.07124,146.03375,355.73464,283.04211,240.70396,111.94374,113.46852,115.64847,6.9315538,4.616844,7.2133654,8.491232,8.7479035,10.134033,7.9933309,9.821781,-1.5977339,0.20908015,-1.5507416,-1.7250861,-1.6728757,1.0572436,-0.45096967,-0.55439662
