number,classNumber,className,numberInClass,1 meanBacteriaarcLength,2 meanBacteriaWholeCurvature,3 minrolcorPointAndMidP10B10,4 minrolcorPointsP10B10,5 minrolcoranglespointpointmiddleP10B10,6 minrolcoranglespointmiddlepointP10B10,7 medianOfTheObjectsSize,8 howMuchWhiteInMaskPercent,9 howManyObjects,10 howManyBacterias,11 meanShiftr25,12 meanShiftr50,13 meanShiftr75,14 meanShiftr100,15 meanShiftr125,16 meanShiftr150,17 meanShiftr175,18 meanShiftr200,19 NewKmeansAndVariance2DForK3,20 NewKmeansAndVariance2DForK6,21 NewKmeansAndVariance2DForK10,22 NewKmeansAndVariance3DForK3,23 NewKmeansAndVariance3DForK6,24 NewKmeansAndVariance3DForK10,25 NewKmeansAndVariance2DForK3weighted,26 NewKmeansAndVariance2DForK6weighted,27 NewKmeansAndVariance2DForK10weighted
89,4,Br,16,66.72793681,9.875586716,0.3525815383,1.226315376,0.4501738016,0.5554710527,247,0.09338704427,1169,1858.364372,971,508,281,162,110,75,58,47,11.64673108,1667.193077,1350.707169,7919.437764,17393.70726,8456.659715,13.6646149,1046.607874,1514.01325
90,4,Br,17,76.99950182,9.863420815,0.1496109231,0.9211901344,0.3181283802,0.4434304087,317,0.05357035319,597,830.6277603,534,286,165,102,69,54,43,35,752.9241974,3165.608903,2502.526642,926.2303365,2898.987226,54311.22949,629.357296,4477.504299,1373.542592
91,4,Br,18,85.89698458,10.05934315,0.5010297165,1.455435409,0.6831105812,0.5275162068,315,0.09244628906,972,1442.514286,823,391,203,124,77,52,40,31,1267.002441,2072.946425,3303.825316,2082.090599,1111.519402,22242.31967,637.3941486,390.0904657,2185.478429
92,4,Br,19,102.9041677,9.922818943,0.4186564315,0.9576723235,0.4348648442,0.5024942111,541,0.1228570557,676,1116.205176,649,436,259,163,115,72,54,40,415.4435807,1788.688821,3487.082179,372.5954713,21540.49508,16928.50166,95.61692012,704.8701341,1048.382493
93,4,Br,20,98.6020597,9.913149523,0.2932447983,1.212004907,0.4422675629,0.4482482623,517.5,0.07914164225,534,751.6850242,511,371,246,165,106,76,60,43,631.9430251,2586.153515,5564.896641,1687.16584,1331.976444,11661.58263,1194.532433,2397.651809,3344.6831
94,4,Br,21,115.9616862,10.09350731,0.3591202206,1.152941196,0.6342587108,0.4519084028,719,0.06121520996,293,418.4770515,287,245,193,146,106,73,62,48,2479.057288,12727.53962,11475.05145,34649.23307,70167.00118,106859.4096,1128.947231,1788.287692,8294.733923
95,4,Br,22,113.8302966,9.97466822,0.6056868023,1.01477065,0.8640803504,0.6212468986,674,0.1215047201,571,886.0830861,546,394,248,167,101,77,56,44,891.983746,3282.232523,6085.240046,1915.790244,17123.36186,36213.20679,599.7524291,688.5369341,1231.966336
96,4,Br,23,92.32729723,10.07282432,0.808041831,1.106798193,1.10845167,0.6689777474,390,0.2206813558,1449,2781.264103,1241,600,302,184,103,78,52,39,382.7839417,1989.249857,2348.279464,10974.17622,242826.1141,251572.788,10.11602695,174.44223,887.6669042
97,4,Br,24,98.06674725,10.10702587,0.4546851017,1.121472074,0.6165815868,0.4223844525,422,0.2384552002,1400,2777.381517,1239,612,296,175,109,74,52,44,3532.25086,3165.087753,3084.307358,2756.889273,14314.44897,52139.37165,13.48168978,198.2660604,681.5032427
98,4,Br,25,90.98849359,9.952585689,0.2723926031,1.183017348,0.3750277438,0.5626933376,383,0.2122644043,1584,2724.078329,1358,611,294,167,93,66,46,39,365.7477586,1592.662223,768.8748749,3527.684993,18233.66894,21896.269,45.61872304,492.4227301,306.547592
99,4,Br,26,73.8309972,9.991817238,0.6694570104,1.299815074,0.7515003019,0.5543360267,267,0.1434434001,1565,2640.64794,1130,446,211,127,78,51,39,30,2056.254396,2069.98048,3431.005251,2693.402487,3503.78095,5681.770873,2206.991865,206.0145346,2874.575956
100,4,Br,27,80.00644625,10.14507943,0.4366040198,1.077722073,0.6515018836,0.5410912802,292,0.1713806152,1439,2884.828767,1102,505,258,157,92,54,41,29,1808.345771,4518.294975,9109.546531,767.3169145,3699.255675,7289.564677,33.75247289,156.9678294,1573.677683
101,4,Br,28,75.64663867,9.981631885,0.5889880289,1.154671263,0.7924512607,0.7654496229,286,0.1455084229,1403,2500.70979,1083,503,268,161,101,65,42,26,568.9528544,1433.387619,3046.535308,177.147242,11862.02825,10540.12915,835.6304862,898.7406181,447.2210751
102,4,Br,29,88.30995156,10.05225803,0.3148323426,1.192726406,0.4675593789,0.4778654912,358,0.134486084,1107,1846.441341,964,494,272,163,108,64,46,38,1066.929016,898.7821479,1137.289949,8229.168737,22605.72863,26652.00482,427.4787308,633.2792655,595.066968
103,4,Br,30,83.24224697,10.12982767,0.5013091169,1.258248624,0.8850452245,0.495792215,334,0.1459063721,1188,2147.182635,1005,494,268,157,104,71,48,32,808.3252322,1296.085014,2665.419467,633.3207126,110196.9762,133514.9182,54.49178105,968.7528779,713.7600385
104,4,Br,31,87.36255702,10.03354713,0.3499214822,1.223320979,0.5385963962,0.4623855222,363.5,0.2091194661,1396,2827.686382,1209,588,299,175,93,65,52,39,530.5020747,2377.92516,1941.098864,16514.01588,23907.31635,30874.65141,426.2238,411.5159232,1025.914158
105,4,Br,32,84.95488998,10.02771522,0.4414015347,1.138414369,0.6324301122,0.6117498588,347,0.1359035238,1220,1925.051873,1013,454,228,133,79,58,42,35,806.7933209,4329.699544,4717.288124,1228.889795,1796.20417,74370.17481,84.61667846,729.3156345,144.0126194
106,4,Br,33,87.4492742,10.02264693,0.4453713033,1.560688823,0.6657222383,0.5709803825,344,0.1544232178,1293,2206.456395,1057,475,234,133,83,49,42,27,2552.966113,1455.140939,753.5739265,18488.18642,21199.41664,40620.33685,1268.849772,436.5070958,775.1510785
107,4,Br,34,94.09626643,9.983540585,0.7153104013,0.9961494404,1.101996431,0.5596766377,413,0.1252357992,772,1490.457627,697,399,230,142,91,66,43,36,3067.843968,5715.210888,4825.459759,1777.469707,6855.665815,17906.00874,226.9844542,3271.832838,1938.593408
108,5,Ps,1,63.85545172,10.04091074,0.7798096047,1.232181013,1.111411978,0.7644179317,203,0.1398040771,1692,3385.049261,1314,535,263,149,88,65,44,34,504.9009868,1384.16972,3068.531307,1179.163753,5189.732533,5998.253404,103.6245019,2296.098635,3379.45332
