number;classNumber;className;numberInClass;1 meanBacteriaarcLength;2 meanBacteriaWholeCurvature;3 minrolcorPointAndMidP10B10;4 minrolcorPointsP10B10;5 minrolcoranglespointpointmiddleP10B10;6 minrolcoranglespointmiddlepointP10B10;7 medianOfTheObjectsSize;8 howMuchWhiteInMaskPercent;9 howManyObjects;10 howManyBacterias;11 meanShiftr25;12 meanShiftr50;13 meanShiftr75;14 meanShiftr100;15 meanShiftr125;16 meanShiftr150;17 meanShiftr175;18 meanShiftr200;19 NewKmeansAndVariance2DForK3;20 NewKmeansAndVariance2DForK6;21 NewKmeansAndVariance2DForK10;22 NewKmeansAndVariance3DForK3;23 NewKmeansAndVariance3DForK6;24 NewKmeansAndVariance3DForK10;25 NewKmeansAndVariance2DForK3weighted;26 NewKmeansAndVariance2DForK6weighted;27 NewKmeansAndVariance2DForK10weighted;28 varianceOnMask;29 varianceWholeImage;30 varianceWholeImageRed;31 varianceWholeImageGreen;32 varianceWholeImageBlue;33 meanOnMask;34 meanWholeImage;35 meanWholeImageRed;36 meanWholeImageGreen;37 meanWholeImageBlue;38 warRedOnMask;39 warGreenOnMask;40 warBlueOnMask;41 meanOnMaskRed;42 meanOnMaskGreen;43 meanOnMaskBlue;44 kurthosisGrayWholeImage;45 kurthosisGrayOnMask;46 kurthosisRedWholeImage;47 kurthosisGreenWholeImage;48 kurthosisBlueWholeImage;49 kurthosisRedOnMask;50 kurthosisGreenOnMask;51 kurthosisBlueOnMask;52 skewnessGrayWholeImage;53 skewnessGrayOnMask;54 skewnessRedWholeImage;55 skewnessGreenWholeImage;56 skewnessBlueWholeImage;57 skewnessRedOnMask;58 skewnessGreenOnMask;59 skewnessBlueOnMask
61;3;x5;14;-0.57282;-0.66938;-0.35913;0.93283;-0.065067;0.025002;-0.72812;-0.84159;-0.72564;-0.91531;-0.68574;-0.50966;-0.45;-0.40645;-0.34615;-0.55556;-0.4717;-0.45455;-0.76598;-0.52448;-0.44875;-0.97556;-0.35394;-0.40151;-0.94279;-0.39757;-0.90336;-0.016894;-0.70641;-0.66089;-0.73313;-0.76804;-0.47827;0.545;0.57272;0.55367;0.41868;0.32453;0.085909;-0.38664;-0.4796;-0.4747;-0.27752;-0.66345;-0.95355;-0.43363;-0.85111;-0.82511;-0.74167;-0.83827;-0.86099;-0.44334;-0.28191;-0.57375;0.080462;-0.10133;-0.016423;0.098258;-0.020849
62;3;x5;15;-0.57105;-0.588;-0.26365;0.0072487;-0.34904;0.1403;-0.69231;-0.8777;-0.78725;-0.94081;-0.74569;-0.56909;-0.50714;-0.50968;-0.34615;-0.36111;-0.32075;-0.27273;-0.88939;-0.47693;-0.95267;-0.9677;-0.96769;-0.70547;-0.76484;-0.93091;-0.78244;-0.18472;-0.74274;-0.68491;-0.77385;-0.80266;-0.51475;0.54417;0.57315;0.5523;0.41725;0.30081;-0.053846;-0.45639;-0.54863;-0.4985;-0.28903;-0.62858;-0.98405;-0.3722;-0.82658;-0.79839;-0.68552;-0.80704;-0.81973;-0.45927;-0.37627;-0.60034;0.055061;-0.11187;0.048584;-0.0072163;-0.11126
63;3;x5;16;-0.56393;-0.21994;-0.37318;-0.13212;-0.12941;0.10701;-0.71088;-0.86722;-0.79226;-0.93243;-0.76839;-0.50966;-0.32143;-0.29032;-0.23077;-0.27778;-0.24528;-0.27273;-0.85627;-0.45785;-0.76268;1;-0.87143;-0.95793;-0.86808;-0.26881;-0.099175;0.038782;-0.72679;-0.71386;-0.74318;-0.78765;-0.48574;0.53545;0.5687;0.54157;0.40796;0.20775;0.17959;-0.40891;-0.44081;-0.50592;-0.28469;-0.65751;-0.94098;-0.43071;-0.84531;-0.81717;-0.67561;-0.84097;-0.82975;-0.40574;-0.23279;-0.49664;0.093991;-0.075546;0.065659;0.13916;-0.030846
64;3;x5;17;-0.60812;-0.72655;-0.098986;-0.020785;-0.034704;0.26053;-0.73475;-0.87109;-0.75501;-0.93072;-0.73025;-0.45022;-0.3;-0.34194;-0.28846;-0.25;-0.58491;-0.27273;-0.77093;-0.87722;-0.70739;-0.99843;-0.76166;-0.83478;-0.91793;-0.70987;-0.7645;-0.068395;-0.73792;-0.69283;-0.76688;-0.79797;-0.4893;0.52066;0.55261;0.52466;0.40742;0.28612;0.034755;-0.44234;-0.4993;-0.48273;-0.27975;-0.65572;-0.95651;-0.41629;-0.8396;-0.80791;-0.69384;-0.81567;-0.82198;-0.398;-0.30391;-0.5144;0.097614;-0.090959;0.034844;0.058194;-0.083916
65;3;x5;18;-0.64957;-0.71606;-0.63356;-0.43133;-0.41635;-0.14595;-0.72944;-0.94024;-0.9212;-0.97036;-0.89555;-0.70877;-0.65714;-0.57419;-0.36538;-0.13889;-0.16981;-0.18182;-0.90671;-0.12354;-0.50807;-0.95835;-0.86263;-0.67695;-0.84794;0.077701;-0.71679;-0.10327;-0.82733;-0.81315;-0.84151;-0.85974;-0.59253;0.53613;0.57267;0.53707;0.42603;0.36378;0.12109;-0.41942;-0.55126;-0.60888;-0.38535;-0.41292;-0.97411;-0.02231;-0.7238;-0.67588;-0.54737;-0.81156;-0.78737;-0.7161;-0.32598;-0.80509;-0.13264;-0.29142;0.26179;0.00599;-0.17144
66;3;x5;19;-0.53907;-0.76367;0.041353;0.71055;0.059898;-0.17625;-0.65517;-0.94051;-0.92479;-0.9772;-0.90554;-0.75334;-0.75714;-0.5871;-0.42308;-0.16667;-0.16981;-0.22727;-0.77623;-0.17016;-0.68691;-0.84259;-0.64468;-0.34896;-0.86549;-0.52203;-0.87822;-0.094735;-0.82662;-0.81412;-0.83915;-0.86258;-0.59335;0.5391;0.57642;0.53901;0.43233;0.40307;0.1448;-0.39895;-0.54946;-0.61357;-0.37399;-0.41029;-0.9749;-0.0030539;-0.7265;-0.66748;-0.55239;-0.81194;-0.78829;-0.71049;-0.326;-0.81305;-0.12356;-0.28933;0.26587;0.0036977;-0.17283
67;3;x5;20;-0.18717;-0.077248;-0.20074;0.20351;0.037616;-0.17629;-0.43767;-0.87487;-0.851;-0.96548;-0.8238;-0.69094;-0.65714;-0.57419;-0.44231;-0.16667;-0.39623;-0.22727;-0.56331;0.053865;-0.46558;-0.82669;-0.88602;-0.80671;-0.93068;-0.31479;-0.81351;-0.21886;-0.80351;-0.72187;-0.83985;-0.85124;-0.39034;0.52994;0.56475;0.53146;0.42221;0.27209;-0.047823;-0.44494;-0.47988;-0.34396;-0.18902;-0.5977;-0.97211;-0.34275;-0.77811;-0.72686;-0.68241;-0.74661;-0.79481;-0.47779;-0.44239;-0.59369;0.0037089;-0.19839;0.047922;-0.08873;-0.18888
68;3;x5;21;-0.5263;-0.68929;-0.33655;0.12249;-0.042587;0.18013;-0.5809;-0.957;-0.96848;-0.99007;-0.9555;-0.91085;-0.90714;-0.76774;-0.67308;-0.5;-0.58491;-0.40909;-0.30167;-0.71541;-0.90269;-0.93947;-0.90761;-0.87305;-0.78036;-0.79033;-0.77335;-0.22768;-0.88596;-0.83718;-0.90798;-0.90895;-0.47543;0.54576;0.58214;0.54623;0.43836;0.55066;0.10109;-0.35057;-0.55874;-0.4323;-0.26173;-0.33518;-0.98593;0.14758;-0.60152;-0.52561;-0.58839;-0.71201;-0.76157;-0.72819;-0.43226;-0.83634;-0.21683;-0.38307;0.25131;-0.1509;-0.25807
69;3;x5;22;-0.78852;-0.77641;-0.4148;-0.10417;-0.11771;0.18436;-0.80769;-0.96392;-0.95201;-0.9765;-0.94187;-0.91679;-0.94286;-0.80645;-0.71154;-0.5;-0.35849;-0.18182;-0.5706;-0.29537;-0.50605;-0.82195;-0.94727;-0.92684;-0.62695;-0.14557;-0.61357;-0.18477;-0.89491;-0.85641;-0.91285;-0.91475;-0.45952;0.54864;0.58595;0.54875;0.44037;0.63803;0.13176;-0.34614;-0.51161;-0.43195;-0.25109;-0.32204;-0.97972;0.21193;-0.58902;-0.51106;-0.6189;-0.70391;-0.74101;-0.68705;-0.39551;-0.78833;-0.19253;-0.34873;0.22822;-0.15003;-0.27121
70;3;x5;23;-0.79079;0.68514;0.28951;0.06723;0.68953;0.063819;-0.99204;0.41653;-0.28152;0.38989;-0.47593;-0.55126;-0.77857;-0.9871;-0.94231;-0.94444;-1;-0.81818;-0.95925;-0.094829;-0.7312;-1;-1;-0.99297;-0.98637;-0.34736;-0.76654;-1;-0.98587;-0.98172;-0.99324;-0.97379;0.46156;0.51591;0.63922;0.58975;-0.18678;-0.99372;-1;-0.99099;0.55219;0.51707;0.059843;1;-0.41023;1;-0.41635;0.0066984;-0.41705;-0.28637;-0.68795;0.93487;-0.96842;0.72348;0.94356;1;-1;-0.19975;-0.17065
