number,classNumber,className,numberInClass,1 V,2 V,3 V,4 V,5 V,6 V,7 V,8 V,9 V,10 V,11 V,12 V,13 V,14 V,15 V,16 V,17 V,18 V,19 V,20 V,21 V,22 V,23 V,24 V,25 V,26 V,27 V,28 V,29 V,30 V,31 V,32 V,33 V,34 V,35 V,36 V,37 V,38 V,39 V,40 V,41 V,42 V,43 V,44 V,45 V,46 V,47 V,48 V,49 V,50 V,51 V,52 V,53 V,54 V,55 V,56 V,57 V,58 V,59 V,60 V
81,4,Br,8,-0.70234,-0.84946,-0.87284,-0.84522,-0.73018,-0.78551,-0.69766,-0.99674,-0.83315,-0.66495,-0.93473,-0.85812,-0.80518,-0.9222,-0.46503,-0.72591,-0.79516,-0.78037,-0.85721,-0.59007,-0.70234,-0.98195,-0.98653,-0.98434,-0.92325,-0.92359,-0.92758,-0.92985,-0.94525,-0.91938,-0.96679,-0.9346,-0.96067,-0.90763,-0.91069,-0.90991,-0.94265,-0.95463,-0.94375,-0.73332,-0.99163,-0.95298,-0.96143,-0.99082,-0.8632,-0.88973,-0.71099,-1,-0.73122,-0.89827,-0.78128,-0.80252,-0.62524,-0.91276,-0.39852,0.079508,-0.37041,-0.2882,-0.44832,-0.80612
82,4,Br,9,-0.27645,-0.72585,-0.86439,-0.81038,-0.78011,-0.18256,-0.44432,-0.41389,-0.76606,-0.26776,-0.58852,-0.8886,-0.77934,-0.87913,-0.57239,-0.34175,-0.81881,-0.9642,-0.95282,-0.77088,-0.27645,-0.96686,-0.98607,-0.97434,-0.97461,-0.96472,-0.71646,-0.93887,-0.93305,-0.96003,-0.91646,-0.87314,-0.97474,-0.97827,-0.89798,-0.67971,-0.84138,-0.93665,-0.88488,-0.88391,-0.95232,-0.99077,-0.98633,-0.96909,-0.77252,-0.90192,0.092298,-0.40814,-0.94948,-0.66117,-0.8635,-0.7862,-0.57407,-0.71956,-0.78393,-0.83609,-0.7886,-0.88819,-0.70993,-0.84569
83,4,Br,10,-0.99839,-0.81503,-0.92493,-0.81797,-0.94467,-0.98599,-0.79717,-0.89424,-0.79185,-0.64556,-0.67589,-0.89161,-0.90405,-0.61883,-0.63649,-0.19414,-0.84193,-0.24272,-0.76392,-0.17848,-0.99839,-0.97876,-0.99273,-0.99495,-0.99201,-0.98692,-0.98566,-0.96784,-0.97965,-0.99447,-0.91083,-0.97941,-0.99865,-0.88833,-0.95282,-0.96243,-0.83828,-0.86916,-0.95947,-0.96671,-0.99981,-0.6099,-0.99193,-0.9966,-0.84664,-0.9864,-0.96567,-0.91036,-0.93221,-0.93167,-0.91089,-0.902,-0.90112,-0.8675,-0.59898,-0.92382,-0.4803,-0.48377,-0.88815,-0.86304
84,4,Br,11,-0.97861,-0.93169,-0.74344,-0.7962,-0.97571,-0.82165,-0.85206,-0.75306,-0.71967,-0.62101,-0.57755,-0.94227,-0.74532,-0.68658,-0.40304,-0.69783,-0.69619,-0.82848,-0.7899,-0.31778,-0.97861,-0.98681,-0.98668,-0.99428,-0.98304,-0.96589,-0.96125,-0.96324,-0.95826,-0.9687,-0.9577,-0.95007,-0.96605,-0.70954,-0.92301,-0.95736,-0.87393,-0.97347,-0.96108,-0.91661,-0.98662,-0.97796,-0.96758,-0.95571,-0.72369,-0.58695,-0.73398,-0.84547,0.12363,-0.81051,-0.8488,-0.89687,-0.66357,-0.68191,-0.80155,0.25,-0.60903,-0.914,-0.56236,-0.57017
85,4,Br,12,-0.99872,-0.11299,-0.81924,-0.68533,-0.75787,-0.75906,0.83031,-0.74186,0.3369,-0.30307,0.27897,-0.65907,-0.44215,-0.35412,0.021009,-0.64639,-0.25271,-0.35828,-0.4697,-0.27358,-0.99872,-0.89465,-0.99066,-0.97248,-0.9727,-0.95816,-0.97449,-0.8865,-0.90028,-0.91424,-0.86765,-0.9042,-0.93255,-0.92636,-0.92449,-0.83882,-0.84488,-0.87248,-0.93945,-0.86933,-0.99905,-0.71797,-0.83837,-0.061535,-0.34597,-0.83927,-0.14017,-0.58663,-0.39641,-0.8512,-0.33363,-0.80841,-0.31629,-0.54482,-0.51608,-0.37962,-0.43393,-0.40214,-0.398,-0.73396
86,4,Br,13,-0.45971,0.80455,0.50791,-0.78435,-0.18215,0.52504,-0.59277,-0.86892,-0.26729,-0.30145,-0.15585,-0.58809,-0.85191,-0.80691,-0.40204,-0.6687,-0.63856,-0.0079243,-0.4855,-0.43114,-0.45971,-0.78254,-0.9628,-0.98076,-0.92104,-0.8315,-0.96952,-0.94585,-0.84126,-0.93951,-0.93764,-0.83138,-0.90275,-0.91412,-0.95562,-0.92409,-0.92242,-0.92458,-0.83703,-0.71738,0.29132,1,1,1,1,-0.9234,0.17891,-0.31624,-0.48965,-0.89561,-0.51675,-0.86352,-0.83298,-0.75588,-0.92899,0.018995,-0.7609,-0.67294,-0.47174,-0.66105
87,4,Br,14,-0.8519,-0.82384,-0.84258,-0.84605,-0.87944,-0.82215,-0.6829,-0.7776,-0.62619,-0.63713,-0.60146,-0.80033,-0.8359,-0.73891,-0.70888,-0.11861,-0.68484,-0.56757,-0.8607,-0.61531,-0.8519,-0.97891,-0.98438,-0.92451,-0.98118,-0.89461,-0.94869,-0.90604,-0.96876,-0.78872,-0.8867,-0.90177,-0.97184,-0.9336,-0.94967,-0.88104,-0.77863,-0.91962,-0.87507,-0.88309,-0.77954,-0.924,-0.56385,-0.78533,-0.24539,-0.56256,-0.42957,-0.34717,-0.72654,-0.34985,-0.49724,-0.62707,-0.40928,-0.48506,-0.79433,-0.086443,-0.67841,-0.27794,-0.16033,-0.78372
88,4,Br,15,-0.59214,-0.73216,-0.74477,-0.55487,-0.33543,-0.69403,-0.92971,-0.89873,-0.79541,-0.73892,-0.68512,-0.79422,-0.87292,-0.93146,-0.8687,-0.6492,-0.66534,-0.94826,-0.96001,-0.87769,-0.59214,-0.96804,-0.96774,-0.95869,-0.95897,-0.9409,-0.97382,-0.94148,-0.98829,-0.74727,-0.97099,-0.94412,-0.9714,-0.96329,-0.91098,-0.84982,-0.86712,-0.93318,-0.89441,-0.85943,-0.97823,-0.99452,-0.98167,-0.76062,-0.2334,-0.92251,0.39692,-0.92456,-0.94552,-0.88119,-0.94263,-0.91645,-0.80481,-0.93127,-0.86238,-0.62745,-0.64085,-0.81244,-0.53341,-0.38662
89,4,Br,16,-0.95974,-0.90219,-1,-1,-0.87477,-0.86659,-0.70821,-0.81617,-0.69625,-0.71324,-0.78788,-0.87744,-0.8988,-0.98,-0.79684,-0.57201,-0.90773,-0.71179,-0.75157,-0.82751,-0.95974,-0.98503,-0.99446,-0.99558,-0.93789,-0.99765,-0.8564,-0.85865,-0.88011,-0.88749,-0.91441,-0.88163,-0.85652,-0.92281,-0.93927,-0.90214,-0.90608,-0.92778,-0.94003,-0.85378,-0.99377,-0.98624,-0.98766,-1,-1,-0.75961,-0.60356,-0.911,-0.8154,-0.79639,-0.93029,-0.85815,-0.93148,-0.9336,-0.89828,-0.8691,-0.91352,-0.94706,-0.84869,-0.68608
90,4,Br,17,-0.39603,-0.93255,-0.43647,-0.85111,-0.74234,-0.69423,-0.50576,-0.49718,-0.4996,-0.32673,-0.60085,-0.95732,-0.95249,-0.88688,-0.73245,-0.70462,-0.94192,-0.7733,-0.83378,-0.76781,-0.39603,-0.92845,-0.94627,-0.98827,-0.60345,-0.44868,-0.57476,-0.42878,-0.54949,-0.4244,-0.65163,-0.097256,-0.59023,-0.38008,-0.49698,-0.29119,-0.36736,-0.067812,-0.93869,-0.57812,-0.94871,-0.84332,-0.99269,-0.99463,-0.99596,-0.90556,-0.9169,-0.66643,-0.93303,-0.98454,-0.89946,-0.91053,-0.98273,-0.97413,-0.91402,-0.77695,-0.83739,-0.90388,-0.74767,-0.93407
