number,classNumber,className,numberInClass,1 V,2 V,3 V,4 V,5 V,6 V,7 V,8 V,9 V,10 V,11 V,12 V,13 V,14 V,15 V,16 V,17 V,18 V,19 V,20 V,21 V,22 V,23 V,24 V,25 V,26 V,27 V,28 V,29 V,30 V,31 V,32 V,33 V,34 V,35 V,36 V,37 V,38 V,39 V,40 V,41 V,42 V,43 V,44 V,45 V,46 V,47 V,48 V,49 V,50 V,51 V,52 V,53 V,54 V,55 V,56 V,57 V,58 V,59 V,60 V
1,1,Pi,1,0.12924,-0.84422,-0.24046,-0.35985,0.14184,-0.71054,0.75207,0.31256,1,-0.016229,-0.63222,-0.80559,0.71651,-0.68728,-0.26534,-0.71654,-0.053125,-0.37897,-0.15343,0.22669,0.12924,-0.95503,-0.94988,-0.98276,-0.78062,-0.94167,0.0095698,-0.86821,-0.50505,-0.20383,0.21031,-0.48493,1,-0.40381,-0.27858,-0.57477,0.85767,0.0031897,-0.076215,-0.60172,-0.79607,-0.954,-0.86992,-0.81588,-0.84982,-0.51715,-0.51534,-0.37225,-0.30967,-0.90046,-0.33036,0.15076,-0.077695,1,-0.65765,-0.53583,-0.71012,-0.53724,-0.58434,-0.56636
2,1,Pi,2,-0.95663,-0.19685,-0.63884,-0.68387,-0.31759,-0.82075,0.22383,-0.4914,0.28048,-0.64931,-0.83887,-0.70101,-0.73406,-0.75472,-0.56568,-0.55025,-0.65115,-0.72764,-0.72264,-0.53869,-0.95663,-0.99804,-0.8457,-0.84804,-0.56065,-0.52845,-0.75803,-0.41508,-0.50999,-0.43099,0.0040241,-0.50576,-0.81516,-0.17388,-0.26901,-0.42441,-0.28825,-0.25755,-0.43564,0.077708,-1,-0.74481,-0.94063,-0.92284,-0.88812,-0.76702,-0.16571,-0.88706,0.068849,-0.88811,-0.72839,-0.30248,-0.6477,-0.76987,-0.9193,-0.87849,-0.85292,-0.72646,-0.67182,-0.62422
3,1,Pi,3,-0.91892,-0.058119,-0.92885,-0.96317,-0.61892,-0.79861,-0.70497,-0.5763,-0.49782,-0.29877,-0.77716,-0.43977,-0.61794,-0.77111,-0.82507,-0.63504,-0.52302,-0.77148,-0.58159,-0.47467,-0.91892,-0.84704,-0.86,-0.87626,-0.8898,-0.75551,-0.90827,-0.83947,-0.92296,-0.90631,-0.71714,-0.79307,-0.50265,-0.4298,-0.88154,-0.12674,-0.42525,0.027787,-0.22292,-0.45833,-0.99822,-0.9032,-1,-0.99839,-0.99035,-0.88916,-0.91864,-0.77559,-0.42175,-0.72333,-0.25848,-0.50011,-0.86313,-0.77057,-0.77014,-0.82431,-0.88716,-0.91463,-0.7485,-0.65027
4,1,Pi,4,-0.22969,0.42518,-0.80967,-0.88348,-0.61657,-0.86755,-0.3575,-0.08455,0.70414,-0.12667,-0.769,1,-0.21949,-0.70485,-0.32506,-0.3569,-0.448,-0.10579,-0.42897,0.45654,-0.22969,-0.82283,-0.80675,-0.72364,0.80958,-0.85298,0.13408,0.061877,-0.42336,0.3067,0.088172,-0.19375,-0.73652,-0.19673,0.15501,0.37729,0.13537,-0.52499,1,-0.1272,-0.69537,-0.5339,-0.95067,-0.8005,-0.95224,-0.86188,-0.91987,-0.86725,-0.63814,-0.59307,-0.19377,0.11455,-0.20058,-0.7797,-0.76915,0.01889,-0.30587,-0.49132,-0.49076,0.68711
5,1,Pi,5,0.006767,0.10898,0.27159,-0.52936,0.37911,-0.37005,-0.096569,0.49474,0.34236,0.86171,-0.54281,0.48707,-0.4035,-0.48711,0.15822,-0.11602,0.41733,-0.52891,0.36078,0.93333,0.006767,-0.55716,-0.54393,-0.6323,-0.0645,-0.7085,-0.15129,-0.32831,-0.45955,0.39945,-0.053066,0.06523,-0.0064186,0.33706,-0.34756,-0.26875,-0.33861,0.22742,-0.26371,0.33115,-0.84464,-0.95498,-0.83106,-0.64972,-0.5019,-0.15224,0.29275,0.0022551,0.024652,-0.42191,0.17674,0.030743,-0.46008,0.39763,-0.32603,0.55348,-0.73222,-0.63691,-0.39479,0.41445
6,1,Pi,6,-0.20399,0.2765,-0.30187,-0.39246,0.30421,-0.28893,-0.30689,0.2878,-0.63781,-0.76415,-0.69548,-0.31483,-0.22774,-0.71734,-0.79044,-0.6567,-0.013877,-0.39649,-0.49444,0.30024,-0.20399,-0.57553,-0.80121,-0.59362,-0.47385,-0.35258,-0.33798,0.37728,-0.48327,0.80792,0.17946,0.31311,0.20405,0.75545,-0.25086,-0.38784,0.5703,1,-0.70132,-0.028881,-0.9709,-0.86265,-0.70266,-0.60885,-0.58893,-0.80768,-0.67004,0.37427,-0.92274,-0.90884,-0.62664,-0.54064,-0.42798,-0.7917,-0.5338,-0.21914,-0.95125,-0.90963,-0.52047,0.40378
7,1,Pi,7,-0.92914,-0.75752,-0.67207,-0.54492,-0.044441,-0.50836,-0.19426,0.057294,0.23962,0.0051129,-0.69393,-0.032025,-0.11716,-0.61411,-0.2714,-0.37176,0.20222,0.13605,-0.35573,-0.34089,-0.92914,-0.99716,-0.83783,-0.85632,0.76609,0.24093,0.27579,0.29659,-0.13039,-0.78336,0.1389,-0.75612,0.54657,0.54229,0.81594,-0.8755,0.69758,-0.80321,-0.80018,0.3611,-0.95425,-0.98431,-0.88698,-0.92101,-0.8141,-0.92073,-0.61346,-0.37026,-0.1351,-0.61976,-0.27905,-0.089559,-0.5333,-0.55207,-0.84147,-0.17184,-0.59908,-0.40397,-0.83584,-0.14158
8,1,Pi,8,-0.79626,-0.59619,-0.52139,-0.36605,-0.75541,-0.099888,-0.796,0.44717,-0.43329,0.19285,-0.85316,0.763,-0.74322,-0.52464,-0.31627,-0.061915,0.26589,-0.013231,-0.076892,0.37825,-0.79626,-0.99187,-0.96786,-0.85165,-0.82446,-0.68599,-0.70357,-0.7365,-0.75915,-0.60637,-0.84477,-0.72113,-0.72849,-0.57377,-0.88377,-0.69501,-0.84443,-0.74676,-0.6298,-0.62715,-0.94152,-0.97448,-0.93606,-0.90943,-0.71361,-0.45453,-0.64428,-0.84739,-0.745,-0.60915,-0.51554,-0.46015,-0.77056,-0.25286,-0.5791,-0.26576,-0.5276,-0.53264,-0.41484,-0.73194
9,1,Pi,9,-0.54696,-0.34427,-0.45797,-0.62054,-0.76816,-0.60449,-0.35616,-0.5959,0.16794,0.37119,-0.37461,0.24607,0.011272,-0.67017,-0.61691,-0.23966,-0.15769,-0.2774,0.25475,0.35094,-0.54696,-0.18986,-0.41047,-0.94995,-0.10632,-0.39084,-0.38578,-0.40143,-0.86905,-0.8534,-0.56399,-0.83453,-0.92907,-0.81932,-0.80715,-0.65859,-0.90404,-0.80058,-0.66776,-0.83097,-0.90983,-0.75094,-0.60717,-0.88792,-0.45262,-0.76767,-0.53449,0.16373,-0.49643,0.11702,-0.66179,0.46479,-0.72589,-0.57124,0.14479,-0.36717,-0.55414,-0.4416,-0.40696,0.19915
10,1,Pi,10,-0.66938,-0.51061,-0.65654,-0.29839,-0.54486,-0.38752,-0.39278,0.55581,0.49117,0.073078,-0.56576,-0.28615,-0.64219,-0.6887,-0.3159,-0.52309,-0.11335,-0.15782,0.37686,0.73807,-0.66938,1,-0.58312,-0.63149,-0.71309,-0.88466,-0.85768,-0.75766,-0.064833,0.36047,-0.63279,0.59891,0.56003,-0.56368,-0.48759,-0.059167,-0.60245,-0.068561,0.17427,0.084015,-0.96311,-0.99213,-0.8772,-0.76448,-0.7875,-0.78314,-0.58119,-0.66659,-0.6436,-0.54438,-0.63909,-0.59839,-0.82177,-0.021024,-0.89011,0.076502,-0.94838,-0.43505,-0.7772,-0.50806
11,1,Pi,11,-0.39048,-0.88126,-0.41746,-0.73748,-0.70281,-0.56086,-0.35961,-0.1236,-0.16687,-0.40949,-0.48601,-0.41331,-0.40443,-0.62066,-0.43108,-0.62952,0.16065,-0.34737,-0.10192,-0.0038511,-0.39048,-0.96569,1,0.63142,-0.54167,-0.68046,-0.57723,-0.67748,-0.74832,-0.65741,-0.56341,-0.41779,-0.74518,-0.08921,-0.72621,-0.41537,-0.52217,-0.45385,0.2324,0.25245,0.27081,-0.93088,-0.65335,-0.8162,-0.55957,-0.57545,0.091317,-0.50325,0.17137,-0.045135,0.16683,-0.044631,-0.40796,-0.51198,-0.56292,-0.25326,1,-0.705,-0.72945,-0.073019
12,1,Pi,12,-0.9449,-0.95566,-0.91094,-0.73128,-0.69909,-0.16809,-0.59933,-0.44243,-0.61668,-0.73189,-0.86349,-0.053846,-0.31416,0.25449,-0.44481,-0.29772,-0.1136,-0.47358,-0.37401,0.10208,-0.9449,-0.72761,-0.80996,-0.74844,-0.69029,-0.85936,-0.26847,-0.14417,-0.64005,0.26984,0.18869,0.029339,-0.0028724,-0.039168,-0.25693,1,-0.3537,0.77221,0.1614,-0.27017,-0.99891,-0.94491,-0.99365,-0.86725,-0.78727,-0.56201,-0.60251,-0.76401,-0.58211,-0.82512,-0.69745,-0.51743,-0.6126,0.06724,-0.7862,-0.42545,-0.62646,-0.41297,-0.51542,-0.65618
