number,classNumber,className,numberInClass,1 V,2 V,3 V,4 V,5 V,6 V,7 V,8 V,9 V,10 V,11 V,12 V,13 V,14 V,15 V,16 V,17 V,18 V,19 V,20 V,21 V,22 V,23 V,24 V,25 V,26 V,27 V,28 V,29 V,30 V,31 V,32 V,33 V,34 V,35 V,36 V,37 V,38 V,39 V,40 V,41 V,42 V,43 V,44 V,45 V,46 V,47 V,48 V,49 V,50 V,51 V,52 V,53 V,54 V,55 V,56 V,57 V,58 V,59 V,60 V
1,1,Pi,1,-0.93064,-0.064664,-0.92881,-0.55569,-0.92583,-0.5692,-0.33829,-0.68192,-0.30867,-0.7098,-0.71167,-0.58394,-0.48327,-0.27746,-0.16965,-0.39736,-0.4102,0.43358,-0.50479,-0.18268,-0.93064,-0.99427,-0.98487,-0.99792,-0.96909,-0.9773,0.24502,-0.24289,0.44313,-0.083166,-0.26658,-0.53586,0.15573,-0.1025,-0.35379,-0.5285,-0.3108,0.61089,0.10819,0.36265,-0.96769,-0.92321,-0.96796,-0.8449,-0.51089,-0.62981,-0.76086,-0.62863,-0.90636,-0.78321,-0.84605,-0.69584,-0.70704,-0.79487,-0.85156,-0.63946,-0.8504,-0.27819,-0.66793,-0.21486
2,1,Pi,2,-0.56416,0.12444,-0.9793,-0.53615,-0.77946,-0.50139,0.29551,-0.11188,0.09824,0.40048,-0.22225,-0.46828,0.12492,-0.27166,-0.34584,-0.68469,-0.36371,0.087765,0.26559,0.077906,-0.56416,-0.95816,-0.56055,-0.74974,-0.77801,-0.63133,-0.10451,-0.13705,-0.18216,-0.56283,-0.2805,-0.23577,-0.081003,-0.39169,-0.027027,-0.46492,-0.36909,-0.33292,-0.14325,-0.2634,-0.28015,-0.41569,-0.47114,-0.9739,-0.95703,-0.95057,-0.61433,-0.69992,-0.72094,-0.64188,-0.66,-0.90384,-0.52067,-0.82842,-0.86971,-0.58801,-0.71891,-0.5921,-0.26732,-0.48691
3,1,Pi,3,-0.24445,-0.39439,-0.53088,-0.46773,0.050969,-0.36707,-0.2039,-0.40123,-0.21524,-0.43604,-0.10747,-0.04964,0.75071,-0.43259,0.2285,-0.057681,-0.13467,0.89524,-0.34607,-0.48921,-0.24445,-0.66624,-0.86898,-0.77634,-0.79987,-0.64222,-0.88032,-0.62368,-0.70734,0.044643,-0.39426,-0.82789,-0.29054,-0.74361,-0.41285,-0.32479,-0.34779,-0.096872,0.94076,-0.56175,0.087786,-0.67327,-0.5611,-0.77918,-0.27826,0.26155,-0.4963,-0.28457,-0.4337,-0.36726,-0.45719,-0.53863,-0.29517,-0.6031,-0.39041,-0.54243,-0.41808,-0.58335,-0.33472,0.027973
4,1,Pi,4,-0.75708,-0.76587,-0.056881,-0.65521,-0.52112,-0.85737,0.2424,-0.8802,0.67527,-0.31911,-0.62994,-0.48756,-0.28023,0.77023,-0.37115,-0.57445,-0.45031,-0.60768,-0.55559,-0.39707,-0.75708,-0.64802,-0.82021,-0.64101,-0.79865,0.18992,0.061034,-0.74786,-0.081256,0.46782,-0.57188,-0.87921,0.53214,-0.78647,-0.035175,-0.11716,0.057954,0.17939,-0.63438,-0.81594,-0.90492,-0.96166,-0.95412,-0.811,-0.014708,-0.94742,-0.86913,-0.81907,-0.3913,-0.16387,-0.94866,-0.27698,-0.23588,-0.33909,-0.88404,0.019795,-0.45342,-0.50552,-0.61729,-0.67025
5,1,Pi,5,0.21206,0.11806,0.18686,-0.31431,-0.42012,0.33965,0.27206,-0.023892,-0.24469,-0.24438,-0.11436,1,-0.024237,0.24324,-0.15292,-0.37961,-0.02653,0.28123,0.83146,0.12282,0.21206,-0.19396,-0.38776,-0.52646,-0.62455,-0.66432,-0.70219,-0.61155,-0.70764,-0.33998,0.014439,-0.48635,0.64705,-0.029217,-0.18748,-0.30606,-0.56768,1,-0.059857,0.63915,-0.26734,-0.77846,1,-0.74933,-0.26976,-0.47865,-0.67346,0.69434,-0.49744,-0.54333,0.075567,-0.5018,-0.17724,-0.088397,-0.66191,-0.38269,0.11284,0.26627,-0.08701,0.76773
6,1,Pi,6,-0.05767,0.34244,-0.20464,-0.29889,-0.050308,-0.29176,-0.51615,0.44722,1,-0.58809,1,-0.79221,0.37366,-0.47905,0.094915,-0.062603,-0.61294,0.39984,-0.45886,0.25047,-0.05767,-0.33515,-0.56592,-0.92783,-0.34864,0.74344,-0.3738,-0.32756,-0.042062,0.88981,0.36763,-0.00053738,0.09225,0.027902,-0.16335,1,-0.39104,-0.57103,-0.68079,-0.63947,-0.87423,-0.8926,-0.6285,-0.61575,-0.2757,-0.32373,-0.22339,-0.10321,-0.38976,-0.71965,-0.78449,-0.74035,-0.61993,-0.52816,-0.84487,-0.4174,-0.61942,-0.23851,-0.29859,0.74427
7,1,Pi,7,-0.95747,-0.9543,-0.55318,-0.61335,-0.23453,-0.079394,-0.50983,-0.15064,-0.33386,-0.64636,-0.53276,-0.55748,-0.36639,-0.1861,-0.46855,-0.4407,0.12657,0.98388,-0.32397,-0.19032,-0.95747,-0.986,0.73306,-0.57965,0.19867,0.22474,0.24488,0.29358,0.10182,0.30209,0.54266,0.50838,-0.81359,-0.76744,0.34096,-0.31995,0.59059,-0.58073,0.79457,0.060505,-0.99027,-0.98827,-0.72086,-0.82429,-0.83151,-0.55873,-0.62001,-0.82384,-0.72164,-0.68437,-0.67113,-0.55292,-0.43896,-0.68418,-0.60443,-0.85549,-0.5833,0.021824,-0.70471,-0.51353
8,1,Pi,8,-0.96734,-0.33404,-0.88393,-0.87321,-0.14839,-0.033524,-0.12291,-0.085084,-0.62929,-0.28185,-0.34608,0.024663,-0.24133,-0.54711,-0.58833,-0.4502,-0.42669,-0.022934,-0.25948,-0.50777,-0.96734,-0.99721,-0.81357,-0.77053,-0.68327,-0.80538,-0.81716,-0.46038,-0.85739,-0.69245,-0.79104,-0.71375,-0.88892,-0.22189,-0.84688,0.32616,0.096923,-0.74129,-0.087179,-0.67622,-0.98923,-0.9464,-0.96764,-0.84523,-0.83797,-0.22038,-0.51774,-0.4492,-0.68266,-0.30381,-0.54794,-0.51566,-0.73086,-0.87685,-0.65882,-0.4001,-0.65699,-0.45901,-0.76991,-0.099378
9,1,Pi,9,-0.61781,-0.52326,-0.71271,-0.74184,-0.63633,-0.34387,-0.50546,-0.56182,-0.071622,-0.0090734,-0.25964,-0.15618,-0.0064812,0.45118,0.065595,-0.047667,0.59268,-0.41127,0.53785,1,-0.61781,0.38398,-0.40157,-0.48442,-0.84538,-0.38843,-0.43297,-0.84734,-0.93364,-0.94233,-0.76204,-0.92677,-0.61435,-0.65982,-0.62249,-0.79733,-0.76963,-0.63252,-0.71865,-0.85091,-0.10736,-0.80356,-0.83872,-0.9003,-0.56763,-0.77249,-0.64979,-0.69841,-0.68228,-0.60507,-0.17074,-0.62773,-0.31285,-0.48357,-0.43884,-0.46369,0.015038,0.47553,0.1625,0.61429
10,1,Pi,10,0.064524,0.35399,0.75589,-0.72796,0.2692,-0.19932,-0.37826,-0.36427,0.37983,0.54949,-0.069639,0.20146,-0.32409,0.056659,-0.35871,-0.28802,0.13363,0.12438,0.29156,-0.3307,0.064524,0.084293,-0.41717,-0.38466,-0.79253,0.38723,-0.52576,0.51586,0.24734,-0.12267,-0.65935,-0.45349,-0.65549,-0.71441,-0.16668,-0.22544,0.034001,0.058704,-0.005589,-0.55473,-0.33826,-0.77396,-0.26597,-0.4223,-0.21116,-0.27395,-0.81409,-0.65335,-0.51715,-0.4528,-0.73941,-0.55036,-0.4259,-0.27691,-0.65402,-0.52546,1,-0.39253,0.23901,-0.27027
11,1,Pi,11,-0.27902,-0.71079,0.22067,-0.5417,-0.15437,-0.83396,-0.1329,-0.39314,0.081528,-0.0042902,-0.19577,-0.51493,-0.07715,-0.00054981,0.53732,-0.78233,-0.037787,0.62623,0.14973,0.17426,-0.27902,-0.93335,-0.73587,1,-0.49309,-0.70991,-0.67471,-0.57197,-0.6155,-0.64398,-0.52459,-0.49569,-0.2457,-0.67384,-0.088225,-0.10913,-0.22388,-0.058098,-0.62781,-0.73645,-0.59213,-0.85965,-0.75124,-0.7262,-0.48109,-0.046377,-0.82364,-0.50721,-0.22942,0.025923,-0.52413,-0.035925,-0.13888,-0.68129,-0.44617,-0.24995,-0.39059,-0.53607,0.14514,0.19123
12,1,Pi,12,-0.11875,1,-0.71431,-0.60242,-0.43111,-0.47983,0.016645,0.19121,-0.39646,-0.85378,-0.72275,-0.92085,-0.32605,-0.50244,-0.29165,-0.69982,-0.5642,-0.55718,0.32803,-0.50367,-0.11875,-0.40037,-0.67148,-0.69851,0.15219,-0.79314,-0.14232,0.051768,0.37389,0.030071,-0.135,-0.72802,0.081252,-0.23135,0.06952,-0.21012,0.38069,0.058349,-0.6682,0.060587,0.69107,-0.084585,-0.76421,-0.79286,-0.76362,-0.31718,-0.70388,-0.81665,-0.46383,-0.8943,-0.94234,-0.055759,-0.74248,-0.69507,-0.81031,-0.93179,-0.68132,-0.61458,-0.65827,-0.53898
13,1,Pi,13,-0.35087,0.1518,-0.43752,0.40537,0.22508,-0.65077,-0.54498,-0.041723,0.038874,-0.56709,-0.53882,-0.3081,-0.40938,-0.1081,-0.21394,-0.70915,-0.052197,-0.26436,0.016039,0.025451,-0.35087,0.48399,-0.029103,-0.15205,-0.18206,-0.1769,-0.41217,-0.022845,0.70343,0.11865,-0.097651,0.19787,-0.32859,-0.16803,0.051221,-0.16382,0.15634,-0.58126,-0.35334,-0.57107,0.33838,-0.34959,-0.4642,-0.76727,-0.62838,-0.68206,-0.84059,-0.78924,-0.66036,1,-0.70118,-0.76463,-0.30736,0.17846,-0.74316,-0.038637,-0.64286,-0.36372,0.70451,-0.46074
14,1,Pi,14,-0.48448,0.4074,0.82771,0.82607,-0.57592,-0.45792,-0.46742,-0.55107,-0.53319,-0.58023,-0.45765,-0.25697,0.46999,-0.43845,-0.53283,-0.5819,-0.44453,-0.12256,0.22103,-0.27926,-0.48448,-0.93951,-0.94778,-0.82091,-0.83444,-0.80176,-0.55483,-0.19993,-0.52648,-0.81518,-0.69362,-0.444,-0.36174,-0.53163,0.5557,-0.4576,-0.23169,0.48866,0.035959,-0.4537,-0.8618,-0.87783,-0.41636,-0.38271,-0.607,-0.84606,-0.89996,0.39323,-0.87176,-0.76249,-0.86391,-0.77357,-0.44672,-0.62992,-0.47167,-0.4717,0.08306,-0.78332,-0.54175,0.3587
15,1,Pi,15,-0.11515,0.27821,0.36601,0.066008,-0.27164,-0.11742,-0.25982,-0.3039,-0.18563,-0.37499,-0.52055,-0.067149,0.70828,-0.42302,-0.36301,-0.34447,-0.34547,0.12077,-0.36776,-0.52491,-0.11515,-0.65295,-0.57687,-0.60171,-0.58544,-0.83833,-0.7561,-0.38558,-0.81653,-0.67831,-0.81418,-0.71732,0.27427,-0.70731,-0.30361,-0.77972,-0.61354,-0.70859,-0.70383,-0.66566,-0.78721,-0.90449,-0.82116,-0.84719,-0.79814,-0.015217,-0.73549,0.34763,-0.56346,-0.47958,1,-0.59056,-0.49496,-0.50895,-0.58252,-0.59727,-0.22876,-0.31441,0.17107,-0.034782
16,1,Pi,16,-0.91131,-0.78529,-0.072624,-0.4096,-0.91028,-0.23095,-0.76609,-0.14,0.76323,0.064067,-0.33127,0.22651,0.096371,-0.11945,-0.13725,-0.37531,0.10125,-0.18363,-0.13636,0.27393,-0.91131,-0.99468,-0.91576,-0.91866,-0.92153,-0.76251,-0.83168,-0.81782,-0.41394,-0.35905,-0.26584,0.011605,-0.32826,-0.20757,-0.23035,-0.38007,-0.49251,-0.08244,-0.71207,-0.70219,-0.40879,-0.56887,-0.42366,-0.75066,-0.85267,0.31363,-0.75538,-0.49652,-0.84304,0.20782,-0.70107,-0.028391,-0.18168,-0.4533,-0.529,-0.4044,-0.37398,0.056458,0.42995,0.0050344
17,1,Pi,17,-0.94544,-0.21796,-0.70065,-0.18602,-0.17197,0.61455,0.21968,-0.10311,0.4171,0.083503,-0.4641,-0.14856,-0.0083494,0.67203,-0.40944,-0.37581,-0.025481,0.15753,0.83656,-0.026359,-0.94544,-0.99469,-0.97974,-0.85613,-0.99959,-0.95695,-0.78315,-0.819,-0.82829,-0.79755,-0.78259,-0.20766,-0.32862,-0.48705,-0.80394,-0.86325,-0.75974,-0.699,-0.048138,-0.3031,-0.99577,-0.99722,-0.87362,-0.75322,-0.92544,-0.68818,-0.89416,-0.86713,-0.89024,-0.95169,-0.94431,-0.49295,-0.80519,-0.72987,-0.70569,-0.87959,-0.72828,-0.73132,-0.35003,-0.49887
18,1,Pi,18,-0.9675,-0.77237,-0.38226,0.079075,-0.67165,-0.41177,0.57016,-0.7709,-0.53916,-0.31938,-0.73455,-0.67196,-0.21017,-0.28861,-0.066358,-0.38766,-0.2811,-0.62374,-0.56612,-0.63141,-0.9675,-0.99659,-0.98192,-0.98535,-0.97717,-0.93003,-0.17023,-0.81096,-0.83773,-0.99793,-0.83132,-0.41376,-0.41575,-0.64774,-0.69477,-0.76308,-0.61689,-0.68795,-0.59429,-0.69708,-0.99196,-0.83609,-0.92976,-0.87848,-0.79023,-0.69579,-0.87529,-0.42184,-0.75016,-0.42977,-0.61766,-0.47171,-0.76218,-0.6449,-0.54448,-0.28802,0.036048,-0.63174,-0.36359,-0.39354
19,1,Pi,19,-0.65417,-0.066958,0.056746,-0.56946,-0.33572,-0.76595,-0.54403,-0.78615,-0.74208,-0.61594,-0.8125,-0.69575,-0.71787,-0.6838,-0.37852,-0.7724,-0.51557,-0.56945,0.0014634,0.079418,-0.65417,-0.96941,0.27585,-0.98623,-0.96332,-0.91208,-0.89853,-0.91601,-0.88937,-0.90862,-0.87126,-0.80685,-0.86866,-0.87646,-0.3159,-0.896,-0.7097,-0.65488,-0.73878,-0.8338,-0.98192,-0.92442,-0.60863,-0.78868,-0.83141,-0.95011,-0.86486,-0.91199,-0.87653,-0.83875,-0.89986,-0.76068,-0.8138,-0.28989,-0.91648,-0.79998,-0.51972,-0.76421,-0.58423,-0.62918
20,1,Pi,20,-0.34995,-0.42938,-0.37385,-0.64202,-0.71484,-0.65498,-0.70332,-0.559,-0.61994,-0.55451,-0.35095,-0.66611,0.03088,-0.52445,-0.50096,-0.67341,-0.5174,-0.27532,-0.049992,-0.31105,-0.34995,-0.93907,-0.9721,-0.72085,-0.79359,-0.48696,-0.42085,-0.18081,-0.61476,-0.012219,-0.76769,-0.12529,-0.52463,-0.36848,-0.096014,0.16387,-0.09392,0.074757,-0.14953,0.26942,-0.9796,-0.91793,-0.98363,-0.96036,-0.99458,-0.90694,-0.96547,-0.91209,-0.91878,-0.83963,-0.6846,-0.91093,-0.72757,-0.91597,-0.77196,-0.94553,-0.84379,-0.31488,-0.8436,-0.81141
21,1,Pi,21,-0.49097,-0.20278,-0.44138,-0.92742,-0.96494,-0.6293,-0.95713,-0.65204,-0.18723,-0.7047,-0.43255,-0.39232,-0.38786,-0.47681,-0.68766,-0.61269,-0.55481,-0.5534,-0.68875,-0.78259,-0.49097,1,-0.8245,-0.46684,-0.61074,-0.55905,-0.50507,-0.76505,-0.69736,-0.85266,-0.5304,-0.79457,-0.62274,-0.56207,-0.42664,-0.76845,-0.33992,-0.45267,-0.67321,-0.18667,-0.95376,-0.92334,-0.99155,-0.96243,-0.92102,-0.88084,-0.94224,-0.85034,-0.88769,-0.9751,-0.71016,-0.58556,-0.27459,-0.84911,-0.84602,-0.75353,-0.84031,-0.42689,-0.76502,0.0098583
22,1,Pi,22,-0.097785,-0.53643,-0.4369,0.3476,-0.46908,-0.23063,-0.31785,-0.4944,-0.34649,-0.66526,-0.11737,-0.43164,-0.56533,-0.66904,-0.45991,-0.4549,-0.55931,0.6511,-0.43443,-0.6073,-0.097785,-0.91936,-0.91921,-0.72912,-0.71252,-0.58567,-0.55536,-0.70703,-0.66821,-0.61889,-0.7073,-0.72507,-0.32022,-0.83205,-0.67782,-0.79356,-0.79379,-0.30613,-0.65601,-0.60112,-0.91102,-0.98645,-0.88511,-0.87461,-0.83228,-0.29974,-0.86823,-0.56445,-0.9753,-0.5139,-0.95026,-0.84189,-0.026173,-0.48887,-0.73397,-0.44426,-0.82469,-0.72942,-0.10367,-0.61269
