number,classNumber,className,numberInClass,1 V,2 V,3 V,4 V,5 V,6 V,7 V,8 V,9 V,10 V,11 V,12 V,13 V,14 V,15 V,16 V,17 V,18 V,19 V,20 V,21 V,22 V,23 V,24 V,25 V,26 V,27 V,28 V,29 V,30 V,31 V,32 V,33 V,34 V,35 V,36 V,37 V,38 V,39 V,40 V,41 V,42 V,43 V,44 V,45 V,46 V,47 V,48 V,49 V,50 V,51 V,52 V,53 V,54 V,55 V,56 V,57 V,58 V,59 V,60 V
1,1,Pi,1,3120.904731,18602.39582,14024.56484,17766.2868,11938.14091,7324.263481,21184.62103,13636.42117,14193.96049,8306.439859,25775.49185,29400.07144,24535.19803,39284.18271,34118.53734,21048.44199,24136.9594,26709.43843,42434.77407,20952.73885,3120.904731,3328.315544,5947.251618,5947.251618,67348.01886,393809.7379,98987.61084,93345.45492,147297.7801,259818.8802,92135.78421,94326.24339,72127.6795,118286.9664,313894.5061,119625.4923,192779.9898,153312.2768,174808.5876,112716.0763,108.380482,7908.400945,7087.883419,119.4515877,8455.351013,1272.219345,1878.235069,1839.30304,3516.013822,434.460166,2329.408542,5353.358316,2630.210326,11454.1578,5181.164563,10890.91737,11802.39277,8813.505836,9822.647204,12001.60382
2,1,Pi,2,2290.332659,15473.15851,13787.33839,19162.79858,19147.36936,25147.07597,13814.72624,15227.53426,5127.332692,14578.14477,8911.966792,14558.13623,11788.83715,19948.96542,19307.44903,17196.68936,27160.90035,32811.06237,24054.80251,30235.18449,2290.332659,2468.156071,21258.90615,33612.69053,34511.86945,34216.61894,69695.67287,79919.14849,99121.26497,93348.13897,166547.8053,102856.9738,174291.4072,86374.65763,233728.0507,121487.0755,40741.79831,98925.68537,89638.3059,129289.004,720.8876113,3766.63358,3239.657742,2688.463565,12890.30702,1755.098893,9786.336255,11552.37161,5044.681167,4195.2353,10101.48725,5682.676461,2027.119661,15077.14958,12642.0223,5085.398793,8826.330689,7132.896412,27761.13814,5918.007529
3,1,Pi,3,4666.038747,12143.38333,6280.508089,8363.901297,6533.531758,15659.37711,18097.64435,12639.96696,29090.81702,30041.56032,22230.71871,26719.92582,28924.22252,24943.2979,27660.13855,27677.86936,53275.50812,22725.8401,24426.10036,28600.48782,4666.038747,16217.2386,23056.94109,24749.6971,21826.75564,26508.98487,21461.73024,130331.7696,63830.33144,79005.26013,166432.3241,93066.44534,81858.61197,123786.7989,49146.87067,200033.278,64982.07148,212027.2233,215349.3115,264280.5005,1134.464395,4683.591019,1717.439977,1880.401939,8996.916851,1824.632293,3050.484966,6715.822553,4980.741601,46572.48172,22730.51396,5656.054325,26141.06918,15610.63261,13382.42257,5341.183263,7788.294746,7972.455624,15050.19556,12191.61687
4,1,Pi,4,4680.992131,15050.13969,321.1858719,11014.09231,6049.558937,5511.178585,8935.910736,3286.146425,13168.45908,8501.584924,7436.477027,5603.885008,4552.214264,12138.72029,14866.13604,17640.25335,18509.99495,12995.06305,19969.11386,23221.42155,4680.992131,16990.51507,33358.63963,28396.32222,141154.3226,47429.28757,124980.6541,167978.9563,49919.51138,135179.0063,205396.9478,242124.9475,63920.87948,111688.4453,128696.425,174568.7987,39637.30426,16873.44077,147635.176,51271.79606,5652.218551,9120.349301,8421.120224,4685.94979,1610.445739,13493.23938,15760.51084,2661.015156,9921.881184,3004.824257,8447.359311,18708.50114,19802.16978,11696.97183,6970.895228,12129.33701,8515.024874,12753.18739,16419.32984,13052.05595
5,1,Pi,5,6380.668901,17278.40193,2782.577972,3132.446227,13219.68377,14648.76926,32453.4008,27868.47728,23933.22021,18579.95183,18906.88518,15108.57564,30429.0319,43133.16894,24125.3395,33536.92799,28217.60213,23553.19345,38024.13425,21040.71604,6380.668901,44729.96058,67709.13215,81033.26785,64051.3191,36768.63784,50595.77637,35338.14271,20923.12358,194689.576,160486.376,112369.2773,349289.2193,228606.5242,301838.9162,175540.409,89542.357,91686.08578,138460.6502,113079.9454,117.2161939,735.723531,421.9722018,1254.772454,7264.292572,2745.492961,1806.039248,12301.93346,8778.307214,3472.299046,11344.36668,14802.95088,4463.760358,12502.43502,11716.85764,3463.636267,17287.7647,14001.53473,10182.02602,17765.00412
6,1,Pi,6,1.233606761,518.3276043,2420.989827,8720.880972,9328.610547,4072.999678,14256.4749,7710.238827,15073.14213,12393.25769,13437.22115,17152.459,15433.86507,22070.29524,34539.06493,32429.75823,21109.48837,34001.85706,19961.69008,21733.51492,1.233606761,21546.77466,18707.03347,59857.54458,71355.06535,77694.02633,156432.4182,183250.9601,84898.38615,139823.6078,141012.3429,221072.8639,141308.4348,318307.4827,190254.0349,123396.3654,281240.8117,38352.62352,65090.24213,291796.4058,0.01854119887,179.7317593,494.7498854,1649.745264,170.2628382,3459.082333,6084.381431,2832.082916,6972.436382,9684.246624,12570.04502,7936.110751,8764.783919,12051.88304,3965.756186,5755.978112,16622.81806,16994.31379,3277.79172,10990.76913
7,1,Pi,7,3.292410989,865.6122173,3488.867704,7052.763961,8362.630711,21573.51315,3654.030733,8467.360967,6737.365433,26176.85663,24169.2149,16866.89773,30155.98363,9656.181616,11606.68435,17150.75194,21322.05361,18202.65629,22852.74392,40252.44489,3.292410989,12796.61905,40694.59145,138646.2414,139819.6196,144201.4423,175933.9454,154386.2091,213657.4913,165929.925,47783.59783,181290.7224,248630.143,200291.2039,229189.6203,83615.24437,281144.7248,248114.6291,107610.7079,130174.7826,0.1879513544,126.6169695,381.128657,485.366618,1450.180851,845.864461,10507.47415,5963.773549,3359.928598,5809.375735,3313.945196,7539.17669,4513.557137,6167.570155,4487.335419,9794.326414,10420.55355,5877.691108,4338.46318,16273.02445
8,1,Pi,8,993.3132656,6360.784455,5201.99429,24105.94528,5705.983135,7998.697181,11756.5055,13462.37553,14738.51667,20206.0326,11004.37484,11177.82905,15080.12666,26768.46478,25387.41486,22560.6873,23426.5078,27021.48135,19558.1862,15787.20743,993.3132656,1619.76838,11001.65762,26982.26192,37238.52451,36562.45925,24534.02134,26907.48159,50800.44481,146096.9002,23517.50874,64302.28218,45000.21827,75811.29974,247753.1842,242709.0354,71091.50594,178193.6787,266290.0575,67795.74291,390.4814428,1921.320564,3257.87979,2459.40331,8617.652698,8976.61476,15029.33033,6023.99662,10387.40723,18956.87785,53246.16573,9220.161668,32595.21591,26902.81557,15157.76348,19768.35528,19515.1809,31792.09078,30837.09818,18447.54868
9,1,Pi,9,1919.137649,6650.531903,7357.775867,7090.140426,7977.69714,9562.728138,14247.93588,20429.24466,22133.77092,25390.17426,30460.49549,46513.4085,47975.76157,57462.8455,49280.66452,53003.54865,39871.55115,45272.25014,53723.46348,41908.76073,1919.137649,52303.0277,57026.61947,54132.37322,8689.28454,16700.76423,17798.19032,21474.06708,20378.52487,155479.4031,32080.85542,11332.14931,36595.37435,44805.14549,91341.23795,67344.03541,58178.83694,56092.82115,51654.92934,45045.76136,1064.739801,1059.762422,1208.466346,1424.964194,1471.352723,4896.110896,5101.48713,15285.76027,22541.04677,9350.275434,16554.2772,18212.61012,23272.20993,16649.4597,26272.03581,16164.45833,18703.8333,10869.63912,31715.69655,11667.34831
10,1,Pi,10,6035.892088,797.9955041,44938.43158,8618.312055,7075.208923,11942.11837,17163.25048,22161.67506,20320.17037,25834.92451,31466.80968,55742.91214,70691.35437,28263.62428,25000.83055,30292.32163,26228.82504,41122.91974,40293.88228,58120.0335,6035.892088,43015.77881,65680.64087,120689.0451,114774.2172,52497.82629,175076.8094,212067.1373,33383.29445,101789.6982,53167.88207,252955.5645,114564.3595,46247.92135,79044.79669,120368.9504,62501.70095,120562.9914,133953.5892,88495.67426,232.6666411,97.35438237,85.40067918,1118.858593,3603.413253,789.8507643,11097.78388,7813.684371,2895.825584,3859.675021,11306.96347,8793.089004,20326.99389,13946.35217,13666.72698,11422.69688,25934.46246,7013.34684,9652.284499,22654.80835
