number,classNumber,className,numberInClass,1 V,2 V,3 V,4 V,5 V,6 V,7 V,8 V,9 V,10 V,11 V,12 V,13 V,14 V,15 V,16 V,17 V,18 V,19 V,20 V,21 V,22 V,23 V,24 V,25 V,26 V,27 V,28 V,29 V,30 V,31 V,32 V,33 V,34 V,35 V,36 V,37 V,38 V,39 V,40 V,41 V,42 V,43 V,44 V,45 V,46 V,47 V,48 V,49 V,50 V,51 V,52 V,53 V,54 V,55 V,56 V,57 V,58 V,59 V,60 V
1,1,Pi,1,2806.409049,959.1487263,4990.639798,6783.501938,8775.419818,3922.090907,14828.14252,10677.72348,14545.28787,11176.93334,10370.77575,3221.837208,26135.38331,9570.758723,14736.74874,6259.943349,14252.32817,13828.8036,15315.91127,16852.17757,2806.409049,2855.788407,4618.575511,2177.39703,17559.34661,7546.479517,121985.0527,16991.27806,93270.33089,99491.06666,178683.6673,79573.60594,374327.4146,90265.75089,140488.8615,65094.97417,319221.5293,179365.6597,150199.8719,64923.59659,111.244988,318.7992478,507.8786749,2003.065338,1131.407149,2845.078963,3174.028199,4334.490675,4212.665453,993.6092593,4558.06772,8094.318952,12342.86894,17488.87708,6626.407811,4340.09145,7071.949968,6171.900147,7612.512197,4887.426643
2,1,Pi,2,107.8022158,4688.932544,2390.587836,3405.963778,5313.897805,2555.444525,10426.81933,4204.734068,9484.364283,4347.503305,4913.612507,4499.237173,4964.280225,7720.901292,9065.525908,9302.714405,5787.448787,6819.715998,5816.649316,7195.260948,107.8022158,124.903896,14184.90918,18417.17962,35120.94827,57059.12601,29690.85078,73816.71473,92343.87932,71445.3774,148413.1111,76369.42804,35272.48248,124526.5168,142327.9254,87486.50757,123877.6047,133212.075,92997.18702,171029.0072,0,1767.703577,234.2123073,847.6526443,848.1101275,1410.935825,5434.397507,836.7732168,6475.158618,1097.085546,1971.441908,4976.159045,4819.059647,2164.027469,1718.401411,1347.846179,3745.400074,3838.849792,6088.82612,4284.594514
3,1,Pi,3,201.506729,5488.19961,497.7744133,494.5860769,3043.516588,2829.983112,2688.024651,3521.124057,4009.951616,8129.014768,6543.183973,7690.125106,6659.004491,7271.072692,4167.596096,7751.291517,7601.123714,5938.626273,8170.545262,8003.007005,201.506729,9711.726998,12872.53766,15015.69904,8842.584607,29852.6286,11626.79915,20595.1747,15000.03823,12761.86493,42586.97286,32161.61812,93646.36895,86393.57284,24656.6989,131813.671,100524.1443,183719.6221,126851.4621,87316.65109,0.9736818769,670.6791054,4.409293422,31.49040774,91.97619856,709.8846861,566.6288143,1594.120939,3542.754886,2477.81094,5025.200407,3616.487316,1975.545142,2157.980394,4516.290733,1820.974287,2947.745805,1518.617343,4753.291785,4013.277968
4,1,Pi,4,1914.387827,8272.648149,1275.582032,1325.264163,3061.264021,1975.01368,5583.16583,7480.456594,12464.29775,9985.514058,6758.691881,25276.02651,12474.44674,9088.934235,13609.0482,12840.52828,8662.91334,19320.24809,10717.49948,19752.33312,1914.387827,11249.01407,17761.55778,33413.32726,144514.5397,18173.57286,136956.4362,133630.5166,108570.0277,162522.2758,160761.3171,124377.4718,49961.73731,121121.8608,223785.6971,206870.4328,196091.1445,85873.50352,321479.1625,139028.4912,166.1759749,3228.452875,195.3209439,2169.202729,373.8143685,866.4916705,558.6555907,971.3355404,2249.314544,3569.2637,5445.751889,7845.203917,10720.83205,2078.911062,4534.817635,9184.137709,16488.77349,6738.098088,9242.584374,17946.26636
5,1,Pi,5,2502.040483,6450.922158,8332.669475,5016.600131,10563.1087,8144.311833,7757.223169,12144.55593,9919.616566,20647.82052,12731.86828,19010.83437,9788.819041,15061.86135,22734.64353,17248.20678,20911.53653,10814.589,23897.09238,25768.07629,2502.040483,28116.03893,41895.29501,44423.74737,74731.33757,35484.79551,102643.2106,84698.02425,101790.6534,173973.9556,140035.4256,164225.6007,186337.3338,200659.345,127238.6094,110666.468,115292.3034,219056.2509,120360.8066,210609.6119,84.75298503,312.0476152,658.2977706,3798.07183,3704.853836,4939.557722,8398.433103,6878.92708,6210.983253,5003.433382,7853.551969,7268.649746,7295.599673,12273.11992,12846.84611,13852.41424,6556.949507,4943.019379,10914.12192,15105.64809
6,1,Pi,6,1978.263815,7416.058691,4589.844783,6443.53983,9998.787806,9150.239065,6004.847278,10478.4258,3025.252373,3108.648135,8700.24534,9216.193363,12353.97134,8746.278531,4821.518277,7354.825553,14807.86674,13476.65025,9624.923458,17780.15253,1978.263815,26949.44078,18271.00167,49085.78475,42050.31245,78131.94637,80197.12866,173184.6259,97349.12425,224404.8677,174156.6068,202366.8592,225650.4271,263000.8996,145815.1628,92931.46285,270233.9201,355808.0993,50715.10202,154383.0247,15.87269498,951.4870388,1155.23919,4239.545256,3061.121068,1177.560842,2173.813359,9406.489313,548.2128941,923.4085114,2632.662383,3337.621092,7719.328335,1975.022145,8949.528656,7105.574918,1454.738356,1580.237653,8725.083599,14994.47819
7,1,Pi,7,176.1238073,1458.656091,2173.65939,4854.404144,7371.899974,6429.142253,6943.270593,8622.501229,9196.896248,11407.16057,8741.186923,12670.44175,13967.91872,11578.07751,14622.37017,12568.62905,17866.73403,24181.53917,11939.72115,9690.995617,176.1238073,180.9926051,14907.79172,17419.26529,141042.0857,149245.8601,153994.2369,163065.2405,163439.486,27941.65604,168205.8313,37846.12364,289631.1934,231238.7704,350755.2286,20313.03793,291930.8069,36627.0118,34981.30945,215285.9279,24.95710407,108.8780122,441.8444741,867.3774756,1395.583506,528.7056202,2539.646733,4348.023189,5256.094234,3345.589222,4891.528365,6440.993468,6329.146859,4049.900667,3178.221943,7518.594676,9658.620902,7815.157392,3232.118449,9312.872997
8,1,Pi,8,506.3593231,2388.165955,3157.118762,6718.901021,2015.12997,11494.39053,1929.577604,11761.59191,4463.802692,13432.41336,4536.43821,22381.17458,4830.558548,14032.4093,13775.17451,18238.16487,18767.87038,21180.80479,16593.11896,18764.47638,506.3593231,516.9624348,2967.651672,17981.34087,14059.24451,38183.05803,36239.50819,33508.62436,45679.60435,49793.45919,23858.65417,43231.22558,51461.43946,64940.8694,24228.00368,47190.66921,29067.1953,46618.49357,62097.42313,60951.19353,31.89903293,176.977229,251.8689581,992.514868,2138.872642,3204.510116,2340.40976,1106.313675,1610.584642,3434.516125,3354.706788,3891.417945,3197.35329,6640.726959,8099.83416,6698.493255,11323.73261,6228.598911,10564.91857,3162.364435
9,1,Pi,9,1125.914904,3839.560598,3571.063623,4066.121129,1919.081391,5237.061231,5594.264592,3363.334889,8692.725131,15356.25967,17173.80271,16067.17079,15842.41748,10040.11869,8098.197692,14985.86321,12772.23999,15870.49626,22127.6553,18419.90925,1125.914904,51435.1177,54150.54318,6132.53352,71392.37949,73546.69622,74449.62871,75529.19313,25096.754,19294.27019,65060.23878,25781.98426,13994.95046,28352.54485,38946.64081,52614.28146,18905.08412,37093.24369,56055.53909,29120.72414,49.18762578,1725.232601,1524.842037,1224.822957,4069.374092,1407.214069,3050.215892,7975.984654,3096.369716,9519.156683,2404.241922,10254.80123,3786.943537,3883.910518,21678.39865,5812.880845,10705.45298,7351.158303,10702.15418,12862.57368
10,1,Pi,10,821.6814234,2881.213627,2275.051522,7424.146624,3601.549829,7927.623965,5289.216776,12636.25739,10966.31051,12140.34606,12125.92476,9566.421746,6305.050302,9531.796309,13782.15081,9799.689687,13399.90184,18274.35215,24165.54065,23304.34627,821.6814234,126977.7483,38296.82051,44520.47018,22950.66712,14377.82622,17709.45726,30854.68923,175717.5837,169161.4523,54964.24404,246341.5425,292144.4076,66444.43135,100336.6766,141875.874,70317.27919,166665.2304,190063.7408,172013.9884,20.12411328,54.69967841,479.6989984,2558.364143,1592.347108,1318.392357,2748.295939,2334.647637,2216.680529,3977.263498,2551.754157,2940.302911,2521.432651,8648.09836,2265.947023,9687.227679,1521.660941,7431.995805,4253.376116,5494.764928
11,1,Pi,11,1514.804117,745.7706979,3835.419367,2847.103408,2411.469026,5778.182982,5565.547015,7166.049423,6337.732955,6934.589575,14231.76663,8013.268285,9775.252141,11398.41619,11607.26262,7852.24328,17278.31152,14463.87611,16175.42198,13943.42695,1514.804117,2179.02213,183668.5366,196758.2733,36636.3098,38845.4171,51429.48631,40910.11765,47706.84236,43491.15911,65146.14593,89903.89073,48344.06764,137142.6339,54495.79316,88832.0626,84002.32884,98466.52538,199315.8418,198319.1431,693.2361367,478.9702381,1346.095097,1999.569159,3278.30129,2510.463829,7096.145821,3444.407408,7087.941431,8160.471488,7789.144212,6750.092702,7983.526653,4397.034927,8403.203296,6807.604071,46908.6781,4103.458641,5085.186441,10027.12258
12,1,Pi,12,136.9342484,317.1056833,614.6592434,2911.721388,2439.51031,10648.69435,3568.16171,4599.022387,3173.87707,3456.641037,4263.620449,12403.90844,11092.72587,35405.88828,11347.90956,13923.37449,13396.30949,11926.79558,11634.65237,15280.04229,136.9342484,17294.18511,17467.27971,30423.58427,24770.56803,17409.35823,88554.04708,107790.76,67986.18936,157971.6471,175511.9047,158703.1004,186999.7474,144599.0677,144649.5019,299600.1201,112720.2896,315487.6115,188016.956,116700.8942,0.5934996012,381.7768831,28.96841691,1448.164275,1594.041524,2587.637451,2610.42018,1672.768609,2584.239774,1624.853101,2172.549892,3497.305114,5282.368198,9412.34987,4214.972287,5304.01455,9020.812691,7704.148044,8813.080076,3951.666494
