number,classNumber,className,numberInClass,1 V,2 V,3 V,4 V,5 V,6 V,7 V,8 V,9 V,10 V,11 V,12 V,13 V,14 V,15 V,16 V,17 V,18 V,19 V,20 V,21 V,22 V,23 V,24 V,25 V,26 V,27 V,28 V,29 V,30 V,31 V,32 V,33 V,34 V,35 V,36 V,37 V,38 V,39 V,40 V,41 V,42 V,43 V,44 V,45 V,46 V,47 V,48 V,49 V,50 V,51 V,52 V,53 V,54 V,55 V,56 V,57 V,58 V,59 V,60 V
1,1,Pi,1,-0.59935,0.35178,-0.37664,0.47113,-0.40168,-0.74929,-0.020603,-0.28837,-0.55199,-0.60223,0.39189,0.036154,-0.34186,0.34446,0.29446,-0.26518,-0.18362,0.13233,0.55318,-0.33196,-0.59935,-0.91922,-0.95109,-0.9532,-0.44799,1,-0.20543,-0.34412,0.032365,0.35211,-0.41248,-0.5046,-0.59637,-0.27408,0.45186,-0.24339,0.3664,0.0089935,-0.12085,-0.27502,-0.96165,-0.16055,-0.44299,-0.99393,-0.57772,-0.87799,-0.88469,-0.87956,-0.8441,-0.99584,-0.97808,-0.78883,-0.94714,-0.31381,-0.74656,-0.45215,-0.13297,-0.49565,-0.41601,-0.22984
2,1,Pi,2,-0.70598,0.12407,-0.3872,0.58763,-0.027006,-0.10855,-0.37615,-0.19784,-0.86727,-0.27083,-0.57699,-0.50689,-0.71243,-0.35278,-0.2865,-0.41768,-0.068919,0.41754,-0.16226,0.00069136,-0.70598,-0.94011,-0.82513,-0.72779,-0.71861,-0.83143,-0.4427,-0.43864,-0.30763,-0.52052,0.070734,-0.45882,-0.0079395,-0.47736,0.077348,-0.2311,-0.72256,-0.35809,-0.56258,-0.16684,-0.74492,-0.60021,-0.74571,-0.82756,-0.35392,-0.82886,-0.38291,-0.19702,-0.77221,-0.83316,-0.89548,-0.77396,-0.96274,-0.079332,-0.35282,-0.76662,-0.36746,-0.60503,0.74422,-0.6422
3,1,Pi,3,-0.40099,-0.11824,-0.72149,-0.31323,-0.68256,-0.44964,-0.16953,-0.34507,-0.033969,0.54625,0.18823,-0.061909,-0.21426,-0.17268,0.041131,-0.0027047,0.92167,-0.05387,-0.1478,-0.057891,-0.40099,-0.60619,-0.81034,-0.80001,-0.82316,-0.87068,-0.83341,-0.083732,-0.55668,-0.59571,0.069984,-0.51136,-0.54033,-0.23905,-0.78495,0.28753,-0.54894,0.40529,0.089413,0.71429,-0.59858,-0.50287,-0.86545,-0.87989,-0.55039,-0.82178,-0.81031,-0.53689,-0.77522,1,-0.76127,-0.77516,-0.33909,-0.044806,-0.31375,-0.75276,-0.44925,-0.55039,-0.077902,-0.21696
4,1,Pi,4,-0.39907,0.093288,-0.98687,-0.092148,-0.70771,-0.81447,-0.61153,-0.87727,-0.58765,-0.59192,-0.66176,-0.83451,-0.92281,-0.63442,-0.46071,-0.40012,-0.39707,-0.50871,-0.32129,-0.25066,-0.39907,-0.58741,-0.7256,-0.77029,0.16031,-0.76414,0.0051254,0.18131,-0.65485,-0.30125,0.32301,0.28855,-0.64364,-0.31612,-0.41332,0.11939,-0.73047,-0.91189,-0.26178,-0.67609,1,-0.031894,-0.33811,-0.6982,-0.92314,0.36557,-0.0038438,-0.82182,-0.54285,-0.88466,-0.91306,-0.18593,-0.50303,-0.29809,-0.65211,-0.38506,-0.39199,-0.23922,0.010652,-0.15863
5,1,Pi,5,-0.18087,0.25544,-0.87726,-0.74965,-0.33507,-0.48597,0.52304,0.52138,-0.21332,-0.05938,-0.0027423,-0.48675,-0.17052,0.48326,-0.097519,0.22927,-0.028836,-0.015197,0.3815,-0.32881,-0.18087,0.086301,-0.44301,-0.34143,-0.47516,-0.81843,-0.59741,-0.75249,-0.85949,0.010706,0.031373,-0.40777,1,0.42863,0.39554,0.1258,-0.37303,-0.40695,-0.30937,-0.27264,-0.95852,-0.92195,-0.96736,-0.92041,-0.63783,-0.72808,-0.88927,-0.14434,-0.59663,-0.86443,-0.88228,-0.36224,-0.89972,-0.24596,-0.40165,-0.85446,0.29924,-0.15796,-0.39277,0.16082
6,1,Pi,6,-0.99985,-0.96419,-0.89336,-0.28345,-0.5373,-0.86618,-0.35484,-0.62555,-0.52142,-0.38628,-0.317,-0.41197,-0.60646,-0.27628,0.31095,0.18543,-0.29846,0.4732,-0.32158,-0.30398,-0.99985,-0.47675,-0.84613,-0.51396,-0.41496,-0.61,0.25989,0.28882,-0.408,-0.2769,-0.095087,0.17557,-0.19791,1,-0.12575,-0.2185,1,-0.76692,-0.6899,0.89389,-0.99999,-0.98097,-0.96164,-0.89483,-0.99582,-0.65547,-0.6178,-0.8098,-0.68156,-0.59572,-0.86925,-0.67223,-0.78848,-0.27512,-0.8107,-0.73029,0.24685,0.036832,-0.83933,-0.29835
7,1,Pi,7,-0.99958,-0.93892,-0.84581,-0.42261,-0.5875,-0.23702,-0.86634,-0.58247,-0.81128,0.34204,0.2996,-0.42242,-0.17845,-0.72394,-0.58856,-0.4195,-0.2904,-0.26529,-0.20905,0.35968,-0.99958,-0.68926,-0.66525,0.12798,0.14931,-0.27127,0.41786,0.085613,0.50068,-0.14005,-0.70049,-0.037912,0.42023,0.24826,0.056146,-0.48116,0.99931,0.64886,-0.46937,-0.16106,-0.99993,-0.98661,-0.97057,-0.97023,-0.93123,-0.92138,-0.33715,-0.58973,-0.85144,-0.76334,-0.96762,-0.69015,-0.89843,-0.65594,-0.78318,-0.51155,-0.24185,-0.68673,-0.77072,0.059692
8,1,Pi,8,-0.87249,-0.53903,-0.76952,1,-0.72557,-0.72505,-0.47545,-0.29828,-0.53305,0.026541,-0.45677,-0.63057,-0.61674,-0.10686,-0.048015,-0.20531,-0.21057,0.14692,-0.33729,-0.51708,-0.87249,-0.96072,-0.90951,-0.78182,-0.69614,-0.81948,-0.80852,-0.81184,-0.64864,-0.24402,-0.85807,-0.66572,-0.75262,-0.54464,0.14287,0.56931,-0.50519,0.17693,0.35362,-0.56823,-0.86183,-0.7961,-0.74428,-0.8424,-0.56953,-0.094026,-0.050238,-0.5855,-0.52096,-0.1946,-0.43696,-0.61427,-0.17217,0.686,-0.22006,0.028725,0.47474,1,0.94317,0.20709
9,1,Pi,9,-0.75363,-0.51795,-0.67352,-0.41949,-0.60751,-0.66882,-0.35525,0.098114,-0.27589,0.30047,0.66106,0.66231,0.33961,1,0.88918,1,0.41323,1,0.9926,0.41904,-0.75363,0.27023,-0.53089,-0.56061,-0.93144,-0.92064,-0.86308,-0.8501,-0.86333,-0.19483,-0.80246,-0.94997,-0.80103,-0.74215,-0.58783,-0.5886,-0.59767,-0.64718,-0.75958,-0.71672,-0.62325,-0.88756,-0.90549,-0.90939,-0.93016,-0.50924,-0.68017,0.065332,0.050597,-0.61016,-0.82691,-0.20832,-0.41329,0.022425,0.36649,-0.16649,0.41082,-0.36181,1,-0.25249
10,1,Pi,10,-0.22513,-0.94384,1,-0.29201,-0.65441,-0.58328,-0.21461,0.19668,-0.33896,0.32397,0.71888,1,1,-0.052945,-0.063179,0.10081,-0.10428,0.80605,0.46985,1,-0.22513,0.044669,-0.4597,-0.018326,-0.05711,-0.73832,0.41092,0.49169,-0.77155,-0.47627,-0.66553,0.34667,-0.35195,-0.73296,-0.64528,-0.23849,-0.56671,-0.21205,-0.33274,-0.43311,-0.91767,-0.98972,-0.99384,-0.92921,-0.82257,-0.92708,-0.2997,-0.45974,-0.87327,-0.84768,-0.88267,-0.63355,-0.48946,-0.15252,-0.29874,-0.42334,0.98054,-0.61282,-0.42703,0.49227
