Chosen Features,Combination,SVM,RandomForest,KNN,MLP
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,",1,81.8505,86.8785,86.0187,59.2523
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,",2,75.9811,81,79.7925,55.0189
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,",3,75.4175,84.1165,78.5243,52.0971
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,",4,88.1961,88.3529,86.8235,66.4314
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,",5,86.1064,91.6383,87.8298,68.6809
