Chosen Features,Combination,SVM,RandomForest,KNN,MLP
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,",1,81.7944,86.5607,86.0748,58.3738
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,",2,75.6415,81.6226,79.6415,55.5283
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,",3,75.3592,83.9806,78.5049,51.5922
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,",4,88.1961,88.4902,86.6471,66.7843
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,",5,86,91.617,87.9574,68.8298
